source,target,weight
332800,250520,0.025307
332800,251430,0.022308
332800,610310,0.025635
332800,530620,0.03817
332800,906870,0.02333
332800,320,0.031986
332800,388090,0.019168
332800,40390,0.050542
332800,438740,0.044424
332800,359550,0.020177
332800,401680,0.037205
332800,354140,0.017569
332800,393190,0.045159
332800,252330,0.025656
332800,381210,0.048018
332800,268870,0.042394
332800,287290,0.026383
332800,406970,0.037758
332800,201790,0.02673
332800,362490,0.024705
211260,256370,0.049727
211260,744900,0.042267
211260,552500,0.028088
211260,224960,0.040854
211260,289650,0.047024
211260,8000,0.038774
211260,948630,0.033816000000000006
211260,208480,0.023171
105600,431240,0.031708999999999994
105600,299500,0.041278
105600,340,0.0479
105600,1057720,0.025878
105600,663370,0.035487
105600,535700,0.033019
105600,431730,0.041128
105600,416000,0.028679000000000007
105600,894940,0.035209
250520,256370,0.044019
250520,251430,0.039886000000000005
250520,834910,0.034387
250520,610310,0.021098
250520,388090,0.032795
250520,40390,0.042355
250520,20920,0.049064
250520,401680,0.025038
250520,552500,0.044893
250520,224960,0.024325
250520,354140,0.036585
250520,252330,0.021038
250520,381210,0.027031
250520,601430,0.027785
250520,201790,0.046796
250520,208480,0.028018
458710,283040,0.037111
458710,22490,0.022753
458710,400630,0.031334
458710,819630,0.029262
458710,12170,0.022118
458710,668840,0.029482
458710,227940,0.03144
458710,70620,0.02843
458710,858210,0.044716000000000006
458710,661940,0.031809
458710,513650,0.03057
458710,779430,0.042518
458710,225300,0.029777
458710,590950,0.048596
458710,1072610,0.025748000000000004
518790,256370,0.029137
518790,251430,0.037376
518790,610310,0.024175
518790,277430,0.029205
518790,906870,0.049667
518790,744900,0.046535
518790,40390,0.018367
518790,438740,0.03674
518790,365020,0.018412
518790,452570,0.032583999999999995
518790,289650,0.049172
518790,343780,0.022235
518790,204530,0.0472
518790,394360,0.016707
518790,296490,0.034512
518790,555440,0.015836000000000003
518790,911400,0.047474
518790,268870,0.034787
518790,282800,0.034936
518790,201790,0.013406
518790,747250,0.019174
418370,335620,0.038778
418370,48190,0.021431
418370,243450,0.042411
418370,228300,0.031178
418370,359220,0.037564
418370,209100,0.022759
418370,7520,0.046787
418370,91700,0.046881
418370,502720,0.01883
418370,388410,0.015775
418370,392110,0.033305
418370,393190,0.045783
418370,233410,0.034179
418370,679990,0.023529
418370,10090,0.0308
418370,221040,0.028307
418370,356310,0.045868
418370,802320,0.047565
431240,299500,0.016927
431240,340,0.02056
431240,312280,0.018355
431240,819630,0.049815
431240,1057720,0.045881
431240,951740,0.030123
431240,663370,0.046103
431240,812440,0.045706
431240,535700,0.023301
431240,346470,0.047885
431240,431730,0.027439
431240,496790,0.045375
431240,298630,0.032804
431240,599460,0.048909
431240,894940,0.044548
431240,590950,0.024219
431240,343990,0.042967
431240,663390,0.031206
283040,400630,0.020019
283040,12170,0.029618
283040,460950,0.050255
283040,661940,0.048168
283040,779430,0.027081
283040,630,0.021557
283040,679990,0.049792
283040,1072610,0.032701
283040,571740,0.050058
283040,802320,0.039022
22490,668840,0.025629
22490,227940,0.028864
22490,967050,0.022375
22490,819080,0.044664
22490,70620,0.043815
22490,594650,0.048662
22490,603700,0.024638
22490,661940,0.034892
22490,7000,0.019532
22490,3910,0.023717
22490,513650,0.029278
22490,261980,0.048226
22490,726590,0.046926
22490,225300,0.015732
22490,240600,0.036047
22490,841370,0.043703
256370,610310,0.021418
256370,744900,0.020689
256370,40390,0.024352
256370,365020,0.018384
256370,354200,0.048211
256370,401680,0.039988
256370,552500,0.021331
256370,289650,0.04436
256370,380,0.025747000000000003
256370,42700,0.03709
256370,555440,0.033064
256370,601430,0.04415
256370,201790,0.043423
256370,208480,0.026816000000000003
220,277430,0.017233000000000002
220,602960,0.022785
220,670290,0.019278
220,587650,0.036939
220,951740,0.048378
220,296200,0.020054
220,831250,0.046823
220,865090,0.015502000000000004
220,454140,0.024809
220,343780,0.028933
220,1070040,0.041163
220,8800,0.031555
220,626610,0.048607
220,204530,0.049004
220,394360,0.03765
220,619930,0.044374
220,521580,0.039810000000000005
220,641080,0.050686
220,282800,0.023985
220,520940,0.023952
220,218230,0.035326
368500,550650,0.03121
368500,485510,0.023368
368500,359220,0.042575
368500,463350,0.033708
368500,91700,0.038334
368500,360430,0.036321
368500,70,0.033510000000000005
99910,65800,0.02558
99910,271590,0.022051
99910,255520,0.023693
99910,3590,0.022819
99910,582160,0.046447
99910,362830,0.040667
99910,50,0.033315
99910,7520,0.018091
99910,304240,0.050899
99910,281990,0.02027
99910,640820,0.007746999999999999
99910,130,0.048254000000000005
99910,470220,0.038099
99910,550,0.024952
99910,550840,0.041041
99910,339610,0.021022
99910,596650,0.028163
99910,356310,0.028304000000000006
314340,271590,0.04634
314340,251430,0.02939
314340,225320,0.049403
314340,40390,0.045984
314340,20920,0.025557
314340,225020,0.047963
314340,452570,0.015938
314340,225000,0.022043
314340,719720,0.025236
314340,300380,0.027424
314340,281990,0.019068
314340,626610,0.03434
314340,668430,0.020343
314340,550,0.045979
314340,252330,0.047041
314340,550840,0.025063
314340,224980,0.025634
314340,268870,0.048283
314340,406970,0.019804
314340,718590,0.042514
314340,596650,0.046818
314340,4570,0.023154
384680,3590,0.037737
384680,647960,0.02603
384680,362830,0.026649000000000003
384680,462200,0.036187
384680,877180,0.032244
384680,470220,0.038486
384680,550,0.021964
384680,397900,0.050124
384680,774171,0.025587
384680,306020,0.032127
384680,4570,0.050615
65800,320,0.044385
65800,362830,0.028858
65800,203160,0.021172
65800,7520,0.043674
65800,880470,0.028938
65800,434460,0.034828
65800,300380,0.041152
65800,281990,0.032003
65800,640820,0.023432
65800,550,0.039813
65800,550840,0.050682
65800,851940,0.028188
65800,693960,0.030673
65800,406970,0.039556
65800,596650,0.018035
65800,4570,0.038847
65800,356310,0.039348
550650,485510,0.048495
550650,906870,0.04529
550650,388090,0.043598000000000005
550650,228300,0.043636
550650,463350,0.01961
550650,91700,0.032901
550650,360430,0.047779
550650,70,0.020696
550650,420,0.037945
550650,345660,0.025549
550650,393190,0.033145999999999995
550650,287290,0.020742
550650,221040,0.020474000000000003
550650,506610,0.04392
550650,362490,0.02509
271590,299500,0.041852
271590,312280,0.048645
271590,414340,0.047036
271590,255520,0.011688
271590,3590,0.044622
271590,812440,0.019733
271590,50,0.020851
271590,7520,0.041923
271590,858210,0.036094
271590,719720,0.026191
271590,290930,0.043738
271590,281990,0.012385
271590,496790,0.020858
271590,1070040,0.03445
271590,626610,0.046686
271590,668430,0.033393
271590,130,0.039432
271590,470220,0.027438
271590,550,0.02179
271590,550840,0.031677
271590,339610,0.042816
271590,306020,0.03348
271590,718590,0.014851
271590,596650,0.050893
251430,610310,0.028158
251430,906870,0.036098000000000005
251430,320,0.041256
251430,40390,0.019649
251430,20920,0.027605
251430,452570,0.015509
251430,359550,0.024724
251430,719720,0.038357
251430,300380,0.044992
251430,354140,0.05013
251430,394360,0.044237
251430,252330,0.020133
251430,550840,0.027557
251430,268870,0.021554
251430,406970,0.015426
251430,201790,0.019981
251430,208480,0.043973000000000005
251430,596650,0.050201
335620,320,0.021291
335620,228300,0.026037
335620,359550,0.028049
335620,209100,0.029503
335620,203160,0.047091
335620,7520,0.046547000000000005
335620,880470,0.02314
335620,502720,0.014137
335620,304240,0.044241
335620,8930,0.032215
335620,354140,0.039273
335620,420,0.045332
335620,393190,0.037307
335620,17570,0.030221
335620,287290,0.021437
335620,10090,0.050022
335620,221040,0.026686
335620,596650,0.031191000000000007
335620,356310,0.048887
834910,388090,0.024014
834910,401680,0.030609
834910,404410,0.037886
834910,381210,0.034866
834910,601430,0.025093
834910,506610,0.037636
610310,530620,0.029701
610310,906870,0.040052
610310,388090,0.043625
610310,40390,0.022252
610310,438740,0.029803
610310,365020,0.024525
610310,452570,0.050059
610310,354200,0.042642
610310,401680,0.016113
610310,552500,0.048688
610310,252330,0.042194
610310,601430,0.042955
610310,268870,0.046951
610310,201790,0.009985
610310,747250,0.040358
610310,362490,0.041229
610310,208480,0.035754
3900,530620,0.047624
3900,254700,0.048171
3900,319510,0.015796
3900,438740,0.036228
3900,463350,0.018563
3900,360430,0.039735
3900,32360,0.042499
3900,588750,0.026806
3900,636070,0.02556
3900,15100,0.038676
3900,360,0.041873
3900,514900,0.033751
3900,345660,0.042095
3900,265300,0.025639
3900,32460,0.015153
3900,339340,0.023107
3900,331600,0.045838
3900,362490,0.044011
528110,312280,0.049863
528110,225320,0.045238
528110,602960,0.03449
528110,883710,0.030018
528110,378540,0.028824
528110,222480,0.037675
528110,462200,0.039554
528110,431730,0.031153
528110,537630,0.021594
528110,496790,0.04286
528110,1070040,0.044531
528110,626610,0.022327
528110,668430,0.023039
528110,599460,0.022375
528110,224980,0.032789
528110,1049660,0.029428
528110,306020,0.029519
528110,718590,0.018791
530620,906870,0.035344
530620,388090,0.029085000000000007
530620,438740,0.010963
530620,365020,0.041875
530620,354200,0.024376
530620,463350,0.049296
530620,401680,0.013927000000000002
530620,32360,0.048264
530620,636070,0.044276
530620,404410,0.030267
530620,345660,0.025852
530620,32460,0.017202000000000002
530620,339340,0.042934
530620,201790,0.034124
530620,747250,0.042536
530620,362490,0.010671
400630,12170,0.024178
400630,668840,0.029642
400630,388410,0.044775
400630,661940,0.024549
400630,261980,0.01931
400630,730,0.034099000000000004
400630,630,0.035711
400630,233410,0.028405
400630,679990,0.032964
400630,802320,0.025901
299500,312280,0.014852
299500,819630,0.030572
299500,255520,0.03365
299500,1057720,0.023848
299500,227940,0.050509
299500,663370,0.044453
299500,812440,0.017246
299500,858210,0.020914
299500,431730,0.026578
299500,290930,0.026475
299500,496790,0.016245
299500,1070040,0.04158
299500,470220,0.03998
299500,590950,0.025689
299500,343990,0.030136000000000007
299500,718590,0.042479
299500,663390,0.045642
485510,254700,0.033117
485510,319510,0.025837
485510,814380,0.022658
485510,33930,0.032225
485510,838390,0.033875
485510,517630,0.050908
485510,243450,0.036425
485510,359220,0.050468
485510,463350,0.028261
485510,91700,0.013338
485510,388410,0.046018
485510,514900,0.044821
340,312280,0.034963
340,951740,0.02093
340,336150,0.021799
340,535700,0.044917
340,431730,0.027084
