Source,Target,Type,Id,Label,timeset,Weight
246420,12180,Directed,0,,,0.052206
246420,311560,Directed,1,,,0.209777
246420,319510,Directed,2,,,0.343938
246420,691630,Directed,3,,,0.151631
246420,300380,Directed,4,,,0.052293
246420,393190,Directed,5,,,0.643567
246420,32460,Directed,6,,,0.216753
246420,91700,Directed,7,,,0.319389
246420,225000,Directed,8,,,0.052692
246420,204530,Directed,9,,,0.189339
246420,594650,Directed,10,,,0.535011
246420,404410,Directed,11,,,0.318403
246420,392110,Directed,12,,,0.052499
246420,744900,Directed,13,,,0.207283
246420,858210,Directed,14,,,0.041849
246420,225320,Directed,15,,,0.302844
246420,911400,Directed,16,,,0.051681
246420,779430,Directed,17,,,0.210209
246420,961440,Directed,18,,,0.167071
246420,719720,Directed,19,,,0.034728
246420,414340,Directed,20,,,0.386055
246420,12100,Directed,21,,,0.068262
246420,340,Directed,22,,,0.05269
246420,640820,Directed,23,,,0.034728
246420,384680,Directed,24,,,0.1369
246420,21690,Directed,25,,,0.903796
246420,277590,Directed,26,,,0.052926
246420,280,Directed,27,,,0.472061
246420,40390,Directed,28,,,0.117165
246420,354140,Directed,29,,,0.542854
246420,1049660,Directed,30,,,0.054377
246420,812440,Directed,31,,,0.379315
246420,1070040,Directed,32,,,0.119974
246420,668840,Directed,33,,,0.184945
246420,670290,Directed,34,,,0.053361
246420,890970,Directed,35,,,0.32082
246420,362490,Directed,36,,,0.308915
246420,256370,Directed,37,,,0.052777
246420,222480,Directed,38,,,0.174977
246420,223470,Directed,39,,,0.383187
246420,10090,Directed,40,,,0.052586
246420,520940,Directed,41,,,0.141871
246420,224980,Directed,42,,,0.352172
246420,760630,Directed,43,,,0.052902
246420,290930,Directed,44,,,0.05205
246420,306020,Directed,45,,,0.052777
246420,220,Directed,46,,,0.062529
246420,3590,Directed,47,,,0.033488
246420,514900,Directed,48,,,0.259959
246420,3910,Directed,49,,,0.336503
246420,502720,Directed,50,,,0.167172
246420,8140,Directed,51,,,0.267074
246420,431730,Directed,52,,,0.052531
246420,747250,Directed,53,,,0.190843
246420,343780,Directed,54,,,0.052451
246420,647960,Directed,55,,,0.035231
246420,406970,Directed,56,,,0.086437
246420,447530,Directed,57,,,0.220295
246420,438740,Directed,58,,,0.188076
246420,227940,Directed,59,,,0.428693
246420,343990,Directed,60,,,0.019843
246420,261980,Directed,61,,,0.019843
246420,590950,Directed,62,,,0.019843
246420,1054580,Directed,63,,,0.019843
246420,289650,Directed,64,,,0.019843
246420,312280,Directed,65,,,0.019843
246420,528110,Directed,66,,,0.209777
246420,130,Directed,67,,,0.019843
246420,661940,Directed,68,,,0.019843
246420,385760,Directed,69,,,0.213877
246420,339610,Directed,70,,,0.207283
246420,603700,Directed,71,,,0.286425
246420,7520,Directed,72,,,0.188548
246420,12170,Directed,73,,,0.086437
246420,663390,Directed,74,,,0.019843
246420,730,Directed,75,,,0.032318
246420,518790,Directed,76,,,0.019843
246420,388410,Directed,77,,,0.290388
246420,462200,Directed,78,,,0.585037
246420,211260,Directed,79,,,0.118172
246420,487770,Directed,80,,,0.389376
246420,454140,Directed,81,,,0.019843
246420,271590,Directed,82,,,0.143019
246420,841370,Directed,83,,,0.019843
246420,4570,Directed,84,,,0.286442
246420,359220,Directed,85,,,0.019843
246420,602960,Directed,86,,,0.125761
246420,948630,Directed,87,,,0.019843
246420,10,Directed,88,,,0.329186
246420,1057720,Directed,89,,,0.167115
246420,418370,Directed,90,,,0.07918
246420,208480,Directed,91,,,0.019843
246420,555440,Directed,92,,,0.400955
246420,240,Directed,93,,,0.019843
246420,397900,Directed,94,,,0.019843
246420,470220,Directed,95,,,0.443559
246420,1096010,Directed,96,,,0.019843
246420,400630,Directed,97,,,0.019843
246420,252330,Directed,98,,,0.019843
246420,601430,Directed,99,,,0.019843
246420,299500,Directed,100,,,0.284428
