AppID,company,date
550650,NS STUDIO,2019
1054580,XiMiGua,2019
906870,Demibug,2019
1072610,FistikTech,2019
744900,Creaky Corpse Ltd,2019
1089350,0,2019
812440,0,2019
339610,Joycity,2015
619930,Grey Alien Games,2017
831250,Gamesandapps,2018
454140,Mikori Games,2019
223470,Running With Scissors,2003
668430,VertexBreakers,2018
271590,Rockstar Games,2015
587650,marnamai,2017
819630,Namo Gamo,2018
460950,Devolver Digital,2019
1070040,LeonWaan Games,2019
416000,Tropical Puppy,2017
802320,Appnori Inc.,2018
1049660,pg5-Studio,2019
747250,Chuck Wilson,2012
718590,The Arcade Crew,2019
40390,Deep Silver,2012
458830,Cherry Pop Games,2016
417750,Volumetric Games,2016
362490,Bare Mettle Entertainment,2015
819080,Burning Asphalt Group,2018
296490,Armor Games Studios,2015
277430,Xbox Game Studios,2014
7000,Square Enix,2006
400800,Milestone S.r.l.,2016
15100,Ubisoft,2008
