id,tag,ser_id
3900,9,1
3910,9,1
8800,9,1
8930,9,1
12100,699,3
12110,699,3
12120,699,3
12170,699,3
12180,699,3
271590,699,3
3590,1645,
65800,1645,
201790,1645,
204530,1645,
246420,1645,
296490,1645,
306020,1645,
356310,1645,
434460,1645,
458710,1645,
10090,1678,
33930,1678,
218230,1678,
227940,1678,
291480,1678,
394360,1678,
489940,1678,
552990,1678,
17570,1681,
32360,1681,
32460,1681,
40390,1681,
99910,1681,
242050,1681,
331600,1681,
719720,1681,
755500,1681,
834910,1681,
339610,1746,
385760,1746,
487770,1746,
496790,1746,
661940,1746,
726590,1746,
819630,1746,
841370,1746,
880470,1746,
1089350,1746,
630,1755,
277430,1755,
281990,1755,
335620,1755,
383120,1755,
392110,1755,
404410,1755,
502720,1755,
691630,1755,
858210,1755,
283040,1770,
286160,1770,
312280,1770,
314340,1770,
242050,4667,2
343990,1770,
397900,1770,
470220,1770,
521580,1770,
535700,1770,
663390,1770,
10,1774,
240,1774,
730,1774,
22490,1774,
42700,1774,
359550,1774,
360430,1774,
513650,1774,
517630,1774,
518790,1774,
550650,1774,
105600,3964,
298630,3964,
354200,3964,
416000,3964,
431730,3964,
462200,3964,
599460,3964,
647960,3964,
894940,3964,
1049660,3964,
550,3978,
21690,3978,7
209100,3978,7
221040,3978,7
222480,3978,7
252330,3978,
254700,3978,7
287290,3978,7
304240,3978,7
319510,3978,5
332800,3978,5
339340,3978,7
354140,3978,5
365020,3978,
388090,3978,5
417750,3978,
418370,3978,7
506610,3978,5
530620,3978,7
594650,3978,
381210,3978,
601430,3978,
661790,3978,
883710,3978,7
890970,3978,
961440,3978,7
967050,3978,
1057720,3978,
91700,4115,
228300,4115,
250520,4115,
268870,4115,
378540,4115,
390030,4115,
406970,4115,
447530,4115,
460950,4115,
514900,4115,
4570,4345,
211260,4345,
255520,4345,
381210,4345,
388410,4345,
438740,4345,
640820,4345,
668840,4345,
744900,4345,
7520,4604,
20900,4604,
20920,4604,
265300,4604,
362490,4604,
414340,4604,
485510,4604,
552500,4604,
636070,4604,
718590,4604,
50,4667,6
70,4667,6
130,4667,6
220,4667,6
280,4667,6
320,4667,6
340,4667,6
360,4667,6
380,4667,6
420,4667,6
15100,4667,2
33230,4667,2
48190,4667,2
201870,4667,2
208480,4667,2
223470,4667,
223550,4667,2
260210,4667,2
261980,4667,6
277590,4667,2
289650,4667,2
636070,4667,
290930,4667,6
300380,4667,
311560,4667,2
368500,4667,2
401680,4667,
466270,4667,6
513710,4667,
550840,4667,
555440,4667,
582160,4667,2
587650,4667,6
602960,4667,
679990,4667,6
747250,4667,6
812140,4667,2
812440,4667,6
814380,4667,
744900,3978,
838390,4667,
911400,4667,2
7000,4667,4
8000,4667,4
8140,4667,4
537630,7038,
203160,4667,4
224960,4667,4
224980,4667,4
225000,4667,4
225020,4667,4
225300,4667,4
225320,4667,4
233410,4667,4
282800,4726,
343780,4726,
590950,4726,
865090,5611,
345660,123332,
619930,4726,
663370,4726,
774171,4726,
877180,4726,
1054580,4726,
1072610,4726,
296200,5611,
463350,5611,
865090,5611,
948630,5611,
958260,5611,
1070040,5611,
1096010,5611,
346470,5914,
760630,5914,
454140,5914,
779430,5914,
528110,5914,
802320,5914,
251430,6815,
334940,6815,
384680,6815,
393190,6815,
400630,4726,
400630,6815,
452570,6815,
596650,6815,
603700,6815,
610310,6815,
906870,6815,
70620,7038,
272890,7038,
362830,7038,
405500,7038,
431240,7038,
537630,7038,
571740,7038,
643590,7038,
951740,7038,
299500,17927,
336150,17927,
458830,17927,
670290,17927,
831250,17927,
55140,123332,
240600,123332,
243450,123332,
381590,123332,
588750,123332,
641080,123332,
711540,123332,
819080,123332,
256370,198913,
345660,198913,
359220,198913,
400800,198913,
520940,198913,
626610,198913,
668430,198913,
550650,1678,
693960,198913,
851940,198913,
730,1678,
1079420,198913,
