group,tag
9,strategy
699,racing
1645,towel_defence
1678,war
1681,pirates
1746,basketball
1755,space
1770,Board Game
3964,pixel_graph
3978,horror
4115,Cybe_punk
4345,gore
4604,deepdark
4667,violent
4726,cute
5611,adult
5914,tennis
6815,Hand-drawn
7038,golf
17927,taiqiu
123332,Bikes
198913,moto
1774,shooter
