Id,Label,timeset,modularity_class
332800,332800,,41
211260,211260,,0
105600,105600,,1
250520,250520,,56
458710,458710,,52
518790,518790,,21
418370,418370,,17
431240,431240,,2
283040,283040,,27
22490,22490,,15
256370,256370,,52
220,220,,2
368500,368500,,15
99910,99910,,3
314340,314340,,52
384680,384680,,27
65800,65800,,27
550650,550650,,27
271590,271590,,4
251430,251430,,45
335620,335620,,54
834910,834910,,5
610310,610310,,6
3900,3900,,45
528110,528110,,45
530620,530620,,0
400630,400630,,7
299500,299500,,54
485510,485510,,15
340,340,,52
277430,277430,,52
405500,405500,,27
312280,312280,,2
819630,819630,,52
906870,906870,,45
254700,254700,,52
225320,225320,,45
1089350,1089350,,15
320,320,,21
414340,414340,,17
319510,319510,,15
8140,8140,,45
466270,466270,,8
255520,255520,,17
744900,744900,,15
814380,814380,,17
381590,381590,,9
33930,33930,,10
388090,388090,,41
40390,40390,,52
838390,838390,,0
3590,3590,,27
602960,602960,,52
647960,647960,,11
438740,438740,,104
48190,48190,,27
670290,670290,,21
311560,311560,,0
587650,587650,,2
365020,365020,,21
55140,55140,,15
890970,890970,,21
12170,12170,,27
20920,20920,,45
668840,668840,,15
1057720,1057720,,17
227940,227940,,15
225020,225020,,2
951740,951740,,52
883710,883710,,52
400800,400800,,12
582160,582160,,54
296200,296200,,2
452570,452570,,13
517630,517630,,15
354200,354200,,14
967050,967050,,15
460950,460950,,16
243450,243450,,15
240,240,,2
819080,819080,,17
362830,362830,,18
378540,378540,,19
663370,663370,,20
513710,513710,,21
812440,812440,,17
336150,336150,,52
228300,228300,,54
359550,359550,,45
359220,359220,,22
661790,661790,,17
225000,225000,,45
463350,463350,,15
12100,12100,,38
958260,958260,,23
209100,209100,,54
401680,401680,,45
203160,203160,,17
711540,711540,,41
50,50,,46
70620,70620,,24
280,280,,25
552500,552500,,45
594650,594650,,17
535700,535700,,26
222480,222480,,54
831250,831250,,52
7520,7520,,27
272890,272890,,28
880470,880470,,54
224960,224960,,45
643590,643590,,27
865090,865090,,29
346470,346470,,30
91700,91700,,15
360430,360430,,31
502720,502720,,54
417750,417750,,0
961440,961440,,52
385760,385760,,15
858210,858210,,17
304240,304240,,17
434460,434460,,27
8930,8930,,32
388410,388410,,54
32360,32360,,33
462200,462200,,27
719720,719720,,34
588750,588750,,15
70,70,,35
636070,636070,,41
12180,12180,,27
300380,300380,,54
603700,603700,,15
354140,354140,,41
661940,661940,,36
392110,392110,,54
289650,289650,,45
431730,431730,,52
7000,7000,,15
290930,290930,,21
691630,691630,,17
447530,447530,,2
380,380,,37
537630,537630,,52
15100,15100,,17
3910,3910,,15
281990,281990,,17
812140,812140,,15
42700,42700,,45
12120,12120,,38
877180,877180,,27
640820,640820,,27
454140,454140,,39
20900,20900,,41
513650,513650,,40
343780,343780,,41
246420,246420,,52
360,360,,15
496790,496790,,42
1070040,1070040,,2
261980,261980,,15
420,420,,54
514900,514900,,17
8800,8800,,52
779430,779430,,27
291480,291480,,43
404410,404410,,54
626610,626610,,52
1054580,1054580,,2
345660,345660,,44
204530,204530,,52
223470,223470,,0
8000,8000,,45
265300,265300,,15
668430,668430,,52
130,130,,46
393190,393190,,17
394360,394360,,52
296490,296490,,52
730,730,,15
470220,470220,,27
550,550,,17
252330,252330,,45
12110,12110,,47
458830,458830,,52
555440,555440,,0
390030,390030,,27
726590,726590,,15
381210,381210,,45
489940,489940,,27
1096010,1096010,,48
201870,201870,,74
334940,334940,,49
552990,552990,,50
225300,225300,,15
17570,17570,,51
550840,550840,,104
260210,260210,,52
242050,242050,,41
383120,383120,,53
630,630,,21
233410,233410,,54
397900,397900,,55
416000,416000,,52
601430,601430,,56
619930,619930,,57
851940,851940,,58
298630,298630,,52
693960,693960,,59
32460,32460,,60
911400,911400,,74
599460,599460,,61
679990,679990,,54
521580,521580,,62
894940,894940,,63
339610,339610,,27
224980,224980,,45
755500,755500,,64
268870,268870,,21
590950,590950,,27
287290,287290,,54
406970,406970,,21
21690,21690,,17
641080,641080,,65
282800,282800,,27
1072610,1072610,,66
571740,571740,,67
240600,240600,,15
1049660,1049660,,68
10090,10090,,69
221040,221040,,21
339340,339340,,54
277590,277590,,52
487770,487770,,15
331600,331600,,70
774171,774171,,27
10,10,,15
506610,506610,,2
201790,201790,,52
520940,520940,,52
306020,306020,,27
841370,841370,,15
760630,760630,,52
747250,747250,,71
343990,343990,,54
1079420,1079420,,52
948630,948630,,45
718590,718590,,21
33230,33230,,15
362490,362490,,17
208480,208480,,45
218230,218230,,15
596650,596650,,27
4570,4570,,45
356310,356310,,72
663390,663390,,73
286160,286160,,74
802320,802320,,75
