source,target,weight
246420,12180,0.028123
246420,300380,0.028099
246420,225000,0.030734
246420,392110,0.029172000000000007
246420,858210,0.032194
246420,911400,0.036332
246420,719720,0.035974
246420,340,0.026753
246420,640820,0.053191
246420,384680,0.03352
246420,277590,0.028935
246420,1049660,0.027439
246420,1070040,0.029682
246420,670290,0.031015
246420,256370,0.031652
246420,10090,0.029145
246420,520940,0.029891
246420,760630,0.029161000000000006
246420,290930,0.037287
246420,3590,0.031856
246420,431730,0.028565
246420,343780,0.029544
246420,647960,0.023638
246420,261980,0.032375
246420,590950,0.028523000000000007
246420,1054580,0.0341
246420,289650,0.029555
246420,312280,0.03217
246420,130,0.031428
246420,661940,0.033475
246420,7520,0.032362
246420,663390,0.029827
246420,730,0.031964
246420,518790,0.028441
246420,211260,0.032382
246420,454140,0.032145
246420,841370,0.02945
246420,359220,0.034016000000000005
246420,948630,0.029756
246420,208480,0.023422
246420,240,0.023422
246420,397900,0.023422
246420,1096010,0.023422
246420,400630,0.023422
246420,252330,0.023422
246420,601430,0.023422
246420,865090,0.023422
246420,458710,0.023422
246420,416000,0.023422
246420,390030,0.023422
246420,420,0.023422
246420,8930,0.023422
246420,958260,0.023422
246420,537630,0.023422
246420,405500,0.023422
246420,641080,0.023422
246420,70620,0.023422
246420,360430,0.023422
246420,359550,0.023422
246420,458830,0.023422
246420,15100,0.023422
246420,242050,0.023422
246420,819630,0.040502
246420,381590,0.023422
246420,55140,0.023422
246420,663370,0.023422
246420,513650,0.023422
246420,466270,0.023422
246420,619930,0.023422
246420,951740,0.023422
246420,812140,0.023422
246420,489940,0.023422
246420,260210,0.023422
246420,452570,0.023422
246420,383120,0.023422
246420,105600,0.023422
246420,291480,0.023422
246420,99910,0.023422
246420,298630,0.023422
246420,834910,0.023422
246420,693960,0.023422
246420,431240,0.04614
246420,774171,0.023422
246420,517630,0.033983
246420,65800,0.048632
246420,571740,0.023422
246420,718590,0.033801
246420,496790,0.023422
246420,225020,0.023422
246420,599460,0.023422
246420,48190,0.023422
246420,521580,0.023422
246420,33230,0.023422
246420,802320,0.033792
246420,282800,0.023422
246420,434460,0.023422
246420,643590,0.023422
246420,334940,0.023422
246420,281990,0.023422
246420,378540,0.023422
246420,552990,0.023422
246420,668430,0.031073000000000007
246420,240600,0.023422
246420,362830,0.023422
246420,277430,0.023422
246420,755500,0.023422
246420,877180,0.023422
246420,1072610,0.023422
246420,587650,0.023422
246420,345660,0.023422
246420,626610,0.023422
246420,296200,0.023422
246420,20900,0.023422
246420,711540,0.023422
246420,12120,0.03261
12180,300380,0.026855
12180,225000,0.024847
12180,392110,0.004443
12180,858210,0.022437
12180,911400,0.043026
12180,719720,0.028311000000000006
12180,340,0.023939
12180,640820,0.054069000000000006
12180,384680,0.030249
12180,277590,0.004443
12180,1049660,0.016880000000000003
12180,1070040,0.004443
12180,670290,0.021256
12180,256370,0.021635
12180,10090,0.004446
12180,520940,0.004443
12180,760630,0.025985
12180,290930,0.029412
12180,220,0.04916
12180,3590,0.021625
12180,431730,0.014656
12180,343780,0.029131
12180,647960,0.018902
12180,406970,0.050671
12180,343990,0.051434
12180,261980,0.021295
12180,590950,0.015822
12180,1054580,0.023108
12180,289650,0.004443
12180,312280,0.022291
12180,130,0.020809
12180,661940,0.027781
12180,7520,0.007103
12180,12170,0.050671
12180,663390,0.004443
12180,730,0.006208
12180,518790,0.018939
12180,211260,0.0071579999999999986
12180,454140,0.022212
12180,841370,0.004442
12180,359220,0.022417
12180,948630,0.004443
12180,418370,0.053422
12180,208480,0.016383
12180,240,0.016383
12180,397900,0.016383
12180,1096010,0.016383
12180,400630,0.016383
12180,252330,0.016383
12180,601430,0.016383
12180,865090,0.016383
12180,458710,0.016383
12180,416000,0.016383
12180,390030,0.016383
12180,420,0.016383
12180,8930,0.016383
12180,958260,0.016383
12180,537630,0.016383
12180,405500,0.016383
12180,641080,0.016383
12180,70620,0.016383
12180,360430,0.016383
12180,359550,0.016383
12180,458830,0.016383
12180,15100,0.016383
12180,272890,0.053422
12180,242050,0.016383
12180,819630,0.035989
12180,381590,0.016383
12180,55140,0.016383
12180,663370,0.016383
12180,251430,0.051436
12180,513650,0.016383
12180,466270,0.016383
12180,619930,0.016383
12180,951740,0.016383
12180,812140,0.016383
12180,489940,0.016383
12180,260210,0.016383
12180,452570,0.016383
12180,383120,0.016383
12180,463350,0.052947
12180,105600,0.016383
12180,291480,0.016383
12180,610310,0.053422
12180,99910,0.016383
12180,354200,0.053422
12180,298630,0.016383
12180,834910,0.016383
12180,693960,0.016383
12180,431240,0.03367
12180,774171,0.016383
12180,517630,0.026275
12180,65800,0.027484
12180,571740,0.016383
12180,718590,0.026095
12180,496790,0.016383
12180,225020,0.016383
12180,582160,0.053422
12180,599460,0.016383
12180,48190,0.016383
12180,521580,0.016383
12180,33230,0.016383
12180,802320,0.026086
12180,282800,0.016383
12180,434460,0.016383
12180,643590,0.016383
12180,334940,0.016383
12180,281990,0.016383
12180,378540,0.016383
12180,552990,0.016383
12180,218230,0.050671
12180,668430,0.005302
12180,240600,0.016383
12180,362830,0.016383
12180,277430,0.016383
12180,755500,0.016383
12180,877180,0.016383
12180,1072610,0.016383
12180,587650,0.016383
12180,345660,0.016383
12180,626610,0.016383
12180,296200,0.016383
12180,20900,0.016383
12180,711540,0.016383
