Id,Label,timeset,modularity_class
246420,246420,,0
12180,12180,,1
311560,311560,,25
319510,319510,,13
691630,691630,,17
300380,300380,,23
393190,393190,,2
32460,32460,,13
91700,91700,,13
225000,225000,,23
204530,204530,,25
594650,594650,,3
404410,404410,,4
392110,392110,,23
744900,744900,,13
858210,858210,,23
225320,225320,,25
911400,911400,,1
779430,779430,,25
961440,961440,,25
719720,719720,,1
414340,414340,,5
12100,12100,,20
340,340,,23
640820,640820,,1
384680,384680,,1
21690,21690,,6
277590,277590,,23
280,280,,11
40390,40390,,25
354140,354140,,11
1049660,1049660,,1
812440,812440,,14
1070040,1070040,,1
668840,668840,,13
670290,670290,,1
890970,890970,,18
362490,362490,,7
256370,256370,,1
222480,222480,,8
223470,223470,,9
10090,10090,,1
520940,520940,,1
224980,224980,,11
760630,760630,,1
290930,290930,,1
306020,306020,,1
220,220,,1
3590,3590,,1
514900,514900,,13
3910,3910,,17
502720,502720,,25
8140,8140,,25
431730,431730,,1
747250,747250,,13
343780,343780,,1
647960,647960,,1
406970,406970,,17
447530,447530,,10
438740,438740,,25
227940,227940,,11
343990,343990,,1
261980,261980,,1
590950,590950,,1
1054580,1054580,,1
289650,289650,,1
312280,312280,,1
528110,528110,,25
130,130,,1
661940,661940,,1
385760,385760,,25
339610,339610,,13
603700,603700,,11
7520,7520,,1
12170,12170,,17
663390,663390,,1
730,730,,1
518790,518790,,1
388410,388410,,17
462200,462200,,25
211260,211260,,1
487770,487770,,11
454140,454140,,1
271590,271590,,23
841370,841370,,1
4570,4570,,11
359220,359220,,1
602960,602960,,13
948630,948630,,1
10,10,,11
1057720,1057720,,25
418370,418370,,25
208480,208480,,1
555440,555440,,18
240,240,,1
397900,397900,,1
470220,470220,,11
1096010,1096010,,1
400630,400630,,1
252330,252330,,1
601430,601430,,1
299500,299500,,13
368500,368500,,17
3900,3900,,12
865090,865090,,1
394360,394360,,25
12110,12110,,11
458710,458710,,1
416000,416000,,1
390030,390030,,1
42700,42700,,17
420,420,,1
588750,588750,,17
535700,535700,,25
8930,8930,,1
417750,417750,,13
967050,967050,,11
958260,958260,,1
537630,537630,,1
405500,405500,,1
641080,641080,,1
70620,70620,,1
401680,401680,,25
50,50,,25
296490,296490,,25
360430,360430,,1
360,360,,17
359550,359550,,1
243450,243450,,11
331600,331600,,25
458830,458830,,1
596650,596650,,25
400800,400800,,13
15100,15100,,1
831250,831250,,13
224960,224960,,25
381210,381210,,25
314340,314340,,25
272890,272890,,23
356310,356310,,25
530620,530620,,14
221040,221040,,15
906870,906870,,25
242050,242050,,1
819630,819630,,1
233410,233410,,25
381590,381590,,1
225300,225300,,16
70,70,,11
55140,55140,,1
663370,663370,,1
203160,203160,,13
388090,388090,,12
251430,251430,,25
513650,513650,,1
320,320,,17
250520,250520,,25
466270,466270,,1
894940,894940,,25
20920,20920,,18
619930,619930,,1
951740,951740,,1
812140,812140,,1
814380,814380,,18
489940,489940,,1
287290,287290,,7
819080,819080,,11
260210,260210,,1
452570,452570,,1
383120,383120,,1
463350,463350,,17
105600,105600,,1
335620,335620,,13
283040,283040,,25
291480,291480,,1
8800,8800,,25
610310,610310,,23
99910,99910,,1
1089350,1089350,,13
485510,485510,,17
838390,838390,,13
201790,201790,,7
354200,354200,,25
851940,851940,,16
506610,506610,,15
298630,298630,,1
834910,834910,,1
693960,693960,,1
268870,268870,,19
336150,336150,,25
431240,431240,,1
774171,774171,,1
517630,517630,,23
513710,513710,,25
65800,65800,,17
571740,571740,,1
883710,883710,,25
718590,718590,,25
880470,880470,,25
496790,496790,,1
225020,225020,,1
550650,550650,,13
552500,552500,,25
582160,582160,,25
599460,599460,,1
48190,48190,,1
460950,460950,,20
346470,346470,,25
22490,22490,,25
521580,521580,,1
630,630,,20
33230,33230,,1
802320,802320,,1
282800,282800,,1
201870,201870,,25
286160,286160,,11
209100,209100,,13
304240,304240,,25
434460,434460,,1
339340,339340,,14
643590,643590,,1
7000,7000,,21
32360,32360,,17
334940,334940,,1
281990,281990,,1
378540,378540,,1
726590,726590,,11
380,380,,11
552990,552990,,1
218230,218230,,17
668430,668430,,1
265300,265300,,17
254700,254700,,17
240600,240600,,1
255520,255520,,22
8000,8000,,11
362830,362830,,1
33930,33930,,17
277430,277430,,1
550,550,,23
636070,636070,,17
661790,661790,,24
755500,755500,,1
17570,17570,,23
877180,877180,,1
1072610,1072610,,1
587650,587650,,1
345660,345660,,1
228300,228300,,11
365020,365020,,12
1079420,1079420,,25
626610,626610,,1
296200,296200,,1
550840,550840,,25
20900,20900,,1
711540,711540,,1
332800,332800,,11
679990,679990,,26
12120,12120,,1
