source,target,weight
12180,719720,0.048728
12180,1049660,0.043389
12180,1070040,0.043389
12180,670290,0.043389
12180,256370,0.043389
12180,10090,0.043389
12180,520940,0.043389
12180,760630,0.043389
12180,290930,0.043389
12180,306020,0.043389
12180,220,0.043389
12180,3590,0.043389
12180,431730,0.043389
12180,343780,0.043389
12180,647960,0.043389
12180,343990,0.043389
12180,261980,0.043389
12180,590950,0.043389
12180,1054580,0.043389
12180,289650,0.043389
12180,312280,0.043389
12180,130,0.043389
12180,661940,0.043389
12180,663390,0.043389
12180,730,0.040807
12180,518790,0.043389
12180,211260,0.046013
12180,454140,0.043389
12180,841370,0.043389
12180,359220,0.043389
12180,948630,0.043389
12180,208480,0.043389
12180,240,0.043389
12180,397900,0.043389
12180,1096010,0.043389
12180,400630,0.043389
12180,252330,0.043389
12180,601430,0.043389
12180,865090,0.043389
12180,458710,0.043389
12180,416000,0.043389
12180,390030,0.043389
12180,420,0.043389
12180,8930,0.043389
12180,958260,0.043389
12180,537630,0.043389
12180,405500,0.043389
12180,641080,0.043389
12180,70620,0.043389
12180,360430,0.043389
12180,359550,0.043389
12180,458830,0.043389
12180,15100,0.043389
12180,242050,0.043389
12180,381590,0.043389
12180,55140,0.043389
12180,663370,0.043389
12180,513650,0.043389
12180,466270,0.043389
12180,619930,0.043389
12180,951740,0.043389
12180,812140,0.043389
12180,489940,0.043389
12180,260210,0.043389
12180,452570,0.043389
12180,383120,0.043389
12180,105600,0.043389
12180,291480,0.043389
12180,99910,0.043389
12180,298630,0.043389
12180,834910,0.043389
12180,693960,0.043389
12180,431240,0.049648000000000005
12180,774171,0.043389
12180,571740,0.043389
12180,496790,0.043389
12180,225020,0.043389
12180,599460,0.043389
12180,48190,0.043389
12180,521580,0.043389
12180,33230,0.043389
12180,282800,0.043389
12180,434460,0.043389
12180,643590,0.043389
12180,334940,0.043389
12180,281990,0.043389
12180,378540,0.043389
12180,552990,0.043389
12180,668430,0.040806
12180,240600,0.043389
12180,362830,0.043389
12180,277430,0.043389
12180,755500,0.043389
12180,877180,0.043389
12180,1072610,0.043389
12180,587650,0.043389
12180,345660,0.043389
12180,626610,0.043389
12180,296200,0.043389
12180,20900,0.043389
12180,711540,0.043389
311560,204530,0.019573
311560,779430,0.0
311560,961440,0.039746
311560,502720,0.031498000000000005
311560,8140,0.046312
311560,438740,0.034488
311560,528110,0.0
311560,385760,0.021778
311560,462200,0.02335
311560,1057720,0.031498000000000005
311560,394360,0.0
311560,535700,0.02335
311560,296490,0.0
311560,331600,0.02335
311560,224960,0.019647
311560,233410,0.0
311560,250520,0.046302
311560,283040,0.02335
311560,336150,0.046303
311560,880470,0.01953
311560,346470,0.0
311560,1079420,0.019389
311560,550840,0.019266
319510,91700,0.046662
319510,400800,0.032666
691630,368500,0.026852
691630,588750,0.025726
691630,320,0.021003
691630,65800,0.036107
691630,254700,0.026852
691630,33930,0.032227
691630,636070,0.044101
300380,225000,0.003315
300380,392110,0.0033200000000000005
300380,858210,0.003318
300380,911400,0.003315
300380,719720,0.033631
300380,340,0.0033159999999999995
300380,640820,0.005121
300380,384680,0.003317
300380,277590,0.003315
300380,1049660,0.023483
300380,1070040,0.023483
300380,670290,0.023483
300380,256370,0.023483
300380,10090,0.023483
300380,520940,0.023483
300380,760630,0.023483
300380,290930,0.023483
300380,306020,0.023483
300380,220,0.023483
300380,3590,0.023483
300380,431730,0.023483
300380,343780,0.023483
300380,647960,0.023483
300380,343990,0.023483
300380,261980,0.023483
300380,590950,0.023483
300380,1054580,0.023483
300380,289650,0.023483
300380,312280,0.023483
300380,130,0.023483
300380,661940,0.023483
300380,663390,0.023483
300380,730,0.027747000000000004
300380,518790,0.023483
300380,211260,0.039368
300380,454140,0.023483
300380,271590,0.027822000000000003
300380,841370,0.023483
300380,359220,0.023483
300380,948630,0.023483
300380,418370,0.03991
300380,208480,0.023483
300380,240,0.023483
300380,397900,0.023483
300380,1096010,0.023483
300380,400630,0.023483
300380,252330,0.023483
300380,601430,0.023483
300380,865090,0.023483
300380,458710,0.023483
300380,416000,0.023483
300380,390030,0.023483
300380,420,0.023483
300380,8930,0.023483
300380,958260,0.023483
300380,537630,0.023483
300380,405500,0.023483
300380,641080,0.023483
300380,70620,0.023483
300380,360430,0.023483
300380,359550,0.023483
300380,458830,0.023483
300380,15100,0.023483
300380,272890,0.006885
300380,242050,0.023483
300380,819630,0.04118
300380,381590,0.023483
300380,55140,0.023483
300380,663370,0.023483
300380,513650,0.023483
300380,466270,0.023483
300380,619930,0.023483
300380,951740,0.023483
300380,812140,0.023483
300380,489940,0.023483
300380,260210,0.023483
300380,452570,0.023483
300380,383120,0.023483
300380,463350,0.04796
300380,105600,0.023483
300380,291480,0.023483
300380,610310,0.006884
300380,99910,0.023483
300380,354200,0.03991
300380,298630,0.023483
300380,834910,0.023483
300380,693960,0.023483
300380,431240,0.032307
300380,774171,0.023483
300380,517630,0.021457
300380,571740,0.023483
300380,496790,0.023483
300380,225020,0.023483
300380,552500,0.050207
300380,582160,0.039911
300380,599460,0.023483
300380,48190,0.023483
300380,521580,0.023483
300380,33230,0.023483
300380,802320,0.049246
300380,282800,0.023483
300380,434460,0.023483
300380,643590,0.023483
300380,334940,0.023483
300380,281990,0.023483
300380,378540,0.023483
300380,552990,0.023483
300380,668430,0.027471
300380,240600,0.023483
300380,362830,0.023483
300380,277430,0.023483
300380,755500,0.023483
300380,17570,0.027821
300380,877180,0.023483
300380,1072610,0.023483
300380,587650,0.023483
300380,345660,0.023483
300380,626610,0.023483
300380,296200,0.023483
300380,20900,0.023483
300380,711540,0.023483
300380,12120,0.04118
32460,91700,0.046049
32460,299500,0.035979000000000004
32460,417750,0.049718
32460,831250,0.04281
32460,203160,0.030665
91700,299500,0.045225
91700,400800,0.029551
91700,1089350,0.040621
225000,392110,0.003319
225000,858210,0.003317
225000,911400,0.003315
225000,719720,0.033277999999999995
225000,340,0.0033159999999999995
225000,640820,0.005143
225000,384680,0.003315
225000,277590,0.003315
225000,1049660,0.023928
225000,1070040,0.023928
225000,670290,0.023928
225000,256370,0.023928
225000,10090,0.023928
225000,520940,0.023928
225000,760630,0.023928
225000,290930,0.023928
225000,306020,0.023928
225000,220,0.023928
225000,3590,0.023928
225000,431730,0.023928
225000,343780,0.023928
225000,647960,0.023928
225000,343990,0.023928
225000,261980,0.023928
225000,590950,0.023928
225000,1054580,0.023928
225000,289650,0.023928
225000,312280,0.023928
225000,130,0.023928
225000,661940,0.023928
225000,663390,0.023928
225000,730,0.028474
225000,518790,0.023928
225000,211260,0.040124
225000,454140,0.023928
225000,271590,0.027356
225000,841370,0.023928
225000,359220,0.023928
225000,948630,0.023928
225000,418370,0.039439
225000,208480,0.023928
225000,240,0.023928
225000,397900,0.023928
225000,1096010,0.023928
225000,400630,0.023928
225000,252330,0.023928
225000,601430,0.023928
225000,865090,0.023928
225000,458710,0.023928
225000,416000,0.023928
225000,390030,0.023928
225000,420,0.023928
225000,8930,0.023928
225000,958260,0.023928
225000,537630,0.023928
225000,405500,0.023928
225000,641080,0.023928
225000,70620,0.023928
225000,360430,0.023928
225000,359550,0.023928
225000,458830,0.023928
225000,15100,0.023928
225000,272890,0.006566
225000,242050,0.023928
225000,819630,0.039876
225000,381590,0.023928
225000,55140,0.023928
225000,663370,0.023928
225000,513650,0.023928
225000,466270,0.023928
225000,619930,0.023928
225000,951740,0.023928
225000,812140,0.023928
225000,489940,0.023928
225000,260210,0.023928
225000,452570,0.023928
225000,383120,0.023928
225000,463350,0.048427
225000,105600,0.023928
225000,291480,0.023928
225000,610310,0.0065650000000000005
225000,99910,0.023928
225000,354200,0.03944
225000,298630,0.023928
225000,834910,0.023928
225000,693960,0.023928
225000,431240,0.033315
225000,774171,0.023928
225000,517630,0.01953
225000,571740,0.023928
225000,496790,0.023928
225000,225020,0.023928
225000,552500,0.050141000000000005
225000,582160,0.03944
225000,599460,0.023928
225000,48190,0.023928
225000,521580,0.023928
225000,33230,0.023928
225000,802320,0.049756
225000,282800,0.023928
225000,434460,0.023928
225000,643590,0.023928
225000,334940,0.023928
225000,281990,0.023928
225000,378540,0.023928
225000,552990,0.023928
225000,668430,0.028196
225000,240600,0.023928
225000,362830,0.023928
225000,277430,0.023928
225000,755500,0.023928
225000,17570,0.027354000000000003
225000,877180,0.023928
225000,1072610,0.023928
225000,587650,0.023928
225000,345660,0.023928
225000,626610,0.023928
225000,296200,0.023928
225000,20900,0.023928
225000,711540,0.023928
225000,12120,0.039876
204530,779430,0.019573
204530,502720,0.046073
204530,8140,0.02677
204530,438740,0.042708
204530,528110,0.019573
204530,385760,0.0043560000000000005
204530,462200,0.042831
204530,1057720,0.046073
204530,394360,0.019573
204530,535700,0.042831
204530,296490,0.019573
204530,331600,0.042831
204530,224960,0.00015900000000000002
204530,314340,0.04512
204530,233410,0.019573
204530,250520,0.026761
204530,283040,0.042831
204530,8800,0.049538
204530,336150,0.026761
204530,880470,9.3e-05
204530,346470,0.019573
204530,304240,0.042194
204530,1079420,0.000407
204530,550840,0.000688
392110,858210,0.003314
392110,911400,0.003318
392110,719720,0.0331
392110,340,0.0033159999999999995
392110,640820,0.005142
392110,384680,0.0033159999999999995
392110,277590,0.003319
392110,1049660,0.02251
392110,1070040,0.02251
392110,670290,0.02251
392110,256370,0.02251
392110,10090,0.02251
392110,520940,0.02251
392110,760630,0.02251
392110,290930,0.02251
392110,306020,0.02251
392110,220,0.02251
392110,3590,0.02251
392110,431730,0.02251
392110,343780,0.02251
392110,647960,0.02251
392110,343990,0.02251
392110,261980,0.02251
392110,590950,0.02251
392110,1054580,0.02251
392110,289650,0.02251
392110,312280,0.02251
392110,130,0.02251
392110,661940,0.02251
392110,663390,0.02251
392110,730,0.026281
392110,518790,0.02251
392110,211260,0.03804
392110,454140,0.02251
392110,271590,0.029203
392110,841370,0.02251
392110,359220,0.02251
392110,948630,0.02251
392110,418370,0.041281
392110,208480,0.02251
392110,240,0.02251
392110,397900,0.02251
392110,1096010,0.02251
392110,400630,0.02251
392110,252330,0.02251
392110,601430,0.02251
392110,865090,0.02251
392110,458710,0.02251
392110,416000,0.02251
392110,390030,0.02251
392110,420,0.02251
392110,8930,0.02251
392110,958260,0.02251
392110,537630,0.02251
392110,405500,0.02251
392110,641080,0.02251
392110,70620,0.02251
392110,360430,0.02251
392110,359550,0.02251
392110,458830,0.02251
392110,15100,0.02251
392110,272890,0.008508
392110,242050,0.02251
392110,819630,0.039351
392110,381590,0.02251
392110,55140,0.02251
392110,663370,0.02251
392110,513650,0.02251
392110,466270,0.02251
392110,619930,0.02251
392110,951740,0.02251
392110,812140,0.02251
392110,489940,0.02251
392110,260210,0.02251
392110,452570,0.02251
392110,383120,0.02251
392110,463350,0.047698
392110,105600,0.02251
392110,291480,0.02251
392110,610310,0.008506
392110,99910,0.02251
392110,354200,0.041281
392110,298630,0.02251
392110,834910,0.02251
392110,693960,0.02251
392110,431240,0.031457
392110,774171,0.02251
392110,517630,0.021025
392110,571740,0.02251
392110,496790,0.02251
392110,225020,0.02251
392110,552500,0.050445
392110,582160,0.041282
392110,599460,0.02251
392110,48190,0.02251
392110,521580,0.02251
392110,33230,0.02251
392110,802320,0.049993
392110,282800,0.02251
392110,434460,0.02251
392110,643590,0.02251
392110,334940,0.02251
392110,281990,0.02251
392110,378540,0.02251
392110,552990,0.02251
392110,668430,0.026003
392110,240600,0.02251
392110,362830,0.02251
392110,277430,0.02251
392110,755500,0.02251
392110,17570,0.029202
392110,877180,0.02251
392110,1072610,0.02251
392110,587650,0.02251
392110,345660,0.02251
392110,626610,0.02251
392110,296200,0.02251
392110,20900,0.02251
392110,711540,0.02251
392110,12120,0.039351
744900,747250,0.020411
744900,339610,0.0
744900,602960,0.050983
744900,831250,0.026123
744900,335620,0.031281
744900,838390,0.013263999999999998
744900,209100,0.047775
858210,911400,0.003317
858210,719720,0.033357
858210,340,0.0033159999999999995
858210,640820,0.0051270000000000005
858210,384680,0.003317
858210,277590,0.003318
858210,1049660,0.022978
858210,1070040,0.022978
858210,670290,0.022978
858210,256370,0.022978
858210,10090,0.022978
858210,520940,0.022978
858210,760630,0.022978
858210,290930,0.022978
858210,306020,0.022978
858210,220,0.022978
858210,3590,0.022978
858210,431730,0.022978
858210,343780,0.022978
858210,647960,0.022978
858210,343990,0.022978
858210,261980,0.022978
858210,590950,0.022978
858210,1054580,0.022978
858210,289650,0.022978
858210,312280,0.022978
858210,130,0.022978
858210,661940,0.022978
858210,663390,0.022978
858210,730,0.02679
858210,518790,0.022978
858210,211260,0.038454
858210,454140,0.022978
858210,271590,0.028757
858210,841370,0.022978
858210,359220,0.022978
858210,948630,0.022978
858210,418370,0.040821
858210,208480,0.022978
858210,240,0.022978
858210,397900,0.022978
858210,1096010,0.022978
858210,400630,0.022978
858210,252330,0.022978
858210,601430,0.022978
858210,865090,0.022978
858210,458710,0.022978
858210,416000,0.022978
858210,390030,0.022978
858210,420,0.022978
858210,8930,0.022978
858210,958260,0.022978
858210,537630,0.022978
858210,405500,0.022978
858210,641080,0.022978
858210,70620,0.022978
858210,360430,0.022978
858210,359550,0.022978
858210,458830,0.022978
858210,15100,0.022978
858210,272890,0.008142
858210,242050,0.022978
858210,819630,0.039556
858210,381590,0.022978
858210,55140,0.022978
858210,663370,0.022978
858210,513650,0.022978
858210,466270,0.022978
858210,619930,0.022978
858210,951740,0.022978
858210,812140,0.022978
858210,489940,0.022978
858210,260210,0.022978
858210,452570,0.022978
858210,383120,0.022978
858210,463350,0.047705
858210,105600,0.022978
858210,291480,0.022978
858210,610310,0.008140999999999999
858210,99910,0.022978
858210,354200,0.040821
858210,298630,0.022978
858210,834910,0.022978
858210,693960,0.022978
858210,431240,0.03186
858210,774171,0.022978
858210,517630,0.021002
858210,571740,0.022978
858210,496790,0.022978
858210,225020,0.022978
858210,552500,0.050223
858210,582160,0.040821
858210,599460,0.022978
858210,48190,0.022978
858210,521580,0.022978
858210,33230,0.022978
858210,802320,0.050323
858210,282800,0.022978
858210,434460,0.022978
858210,643590,0.022978
858210,334940,0.022978
858210,281990,0.022978
858210,378540,0.022978
858210,552990,0.022978
858210,668430,0.026515
858210,240600,0.022978
858210,362830,0.022978
858210,277430,0.022978
858210,755500,0.022978
858210,17570,0.028756
858210,877180,0.022978
858210,1072610,0.022978
858210,587650,0.022978
858210,345660,0.022978
858210,626610,0.022978
858210,296200,0.022978
858210,20900,0.022978
858210,711540,0.022978
858210,12120,0.039556
225320,314340,0.049077
911400,719720,0.033071
911400,340,0.003317
911400,640820,0.005116
911400,384680,0.003317
911400,277590,0.0033159999999999995
911400,1049660,0.022623
911400,1070040,0.022623
911400,670290,0.022623
911400,256370,0.022623
911400,10090,0.022623
911400,520940,0.022623
911400,760630,0.022623
911400,290930,0.022623
911400,306020,0.022623
911400,220,0.022623
911400,3590,0.022623
911400,431730,0.022623
911400,343780,0.022623
911400,647960,0.022623
911400,343990,0.022623
911400,261980,0.022623
911400,590950,0.022623
911400,1054580,0.022623
911400,289650,0.022623
911400,312280,0.022623
911400,130,0.022623
911400,661940,0.022623
911400,663390,0.022623
911400,730,0.02752
911400,518790,0.022623
911400,211260,0.039514
911400,454140,0.022623
911400,271590,0.028604
911400,841370,0.022623
911400,359220,0.022623
911400,948630,0.022623
911400,418370,0.040701
911400,208480,0.022623
911400,240,0.022623
911400,397900,0.022623
911400,1096010,0.022623
911400,400630,0.022623
911400,252330,0.022623
911400,601430,0.022623
911400,865090,0.022623
911400,458710,0.022623
911400,416000,0.022623
911400,390030,0.022623
911400,420,0.022623
911400,8930,0.022623
911400,958260,0.022623
911400,537630,0.022623
911400,405500,0.022623
911400,641080,0.022623
911400,70620,0.022623
911400,360430,0.022623
911400,359550,0.022623
911400,458830,0.022623
911400,15100,0.022623
911400,272890,0.007517
911400,242050,0.022623
911400,819630,0.039659
911400,381590,0.022623
911400,55140,0.022623
911400,663370,0.022623
911400,513650,0.022623
911400,466270,0.022623
911400,619930,0.022623
911400,951740,0.022623
911400,812140,0.022623
911400,489940,0.022623
911400,260210,0.022623
911400,452570,0.022623
911400,383120,0.022623
911400,463350,0.048934
911400,105600,0.022623
911400,291480,0.022623
911400,610310,0.007515000000000002
911400,99910,0.022623
911400,354200,0.040701
911400,298630,0.022623
911400,834910,0.022623
911400,693960,0.022623
911400,431240,0.031651
911400,774171,0.022623
911400,517630,0.020754
911400,571740,0.022623
911400,496790,0.022623
911400,225020,0.022623
911400,582160,0.040702
911400,599460,0.022623
911400,48190,0.022623
911400,521580,0.022623
911400,33230,0.022623
911400,802320,0.048873
911400,282800,0.022623
911400,434460,0.022623
911400,643590,0.022623
911400,334940,0.022623
911400,281990,0.022623
911400,378540,0.022623
911400,552990,0.022623
911400,668430,0.027233
911400,240600,0.022623
911400,362830,0.022623
911400,277430,0.022623
911400,755500,0.022623
911400,17570,0.028603
911400,877180,0.022623
911400,1072610,0.022623
911400,587650,0.022623
911400,345660,0.022623
911400,626610,0.022623
911400,296200,0.022623
911400,20900,0.022623
911400,711540,0.022623
911400,12120,0.039659
779430,961440,0.039746
779430,502720,0.031498000000000005
779430,8140,0.046312
779430,438740,0.034488
779430,528110,0.0
779430,385760,0.021778
779430,462200,0.02335
779430,1057720,0.031498000000000005
779430,394360,0.0
779430,535700,0.02335
779430,296490,0.0
779430,331600,0.02335
779430,224960,0.019647
779430,233410,0.0
779430,250520,0.046302
779430,283040,0.02335
779430,336150,0.046303
779430,880470,0.01953
779430,346470,0.0
779430,1079420,0.019389
779430,550840,0.019266
961440,40390,0.036705
961440,438740,0.040923
961440,528110,0.039746
961440,462200,0.027399
961440,602960,0.015144
961440,394360,0.039746
961440,535700,0.027399
961440,50,0.050132
961440,296490,0.039746
961440,331600,0.027399
961440,356310,0.038413
961440,906870,0.030088
961440,233410,0.039746
961440,251430,0.050132
961440,894940,0.036705
961440,283040,0.027399
961440,883710,0.050327
961440,346470,0.039746
961440,201870,0.050133
961440,209100,0.044552
719720,340,0.033187
719720,640820,0.036496
719720,384680,0.034216
719720,277590,0.034194
719720,1049660,0.023059
719720,1070040,0.023059
719720,670290,0.023059
719720,256370,0.023059
719720,10090,0.023059
719720,520940,0.023059
719720,760630,0.023059
719720,290930,0.023059
719720,306020,0.023059
719720,220,0.023059
719720,3590,0.023059
719720,431730,0.023059
719720,343780,0.023059
719720,647960,0.023059
719720,343990,0.023059
719720,261980,0.023059
719720,590950,0.023059
719720,1054580,0.023059
719720,289650,0.023059
719720,312280,0.023059
719720,130,0.023059
719720,661940,0.023059
719720,663390,0.023059
719720,730,0.033225
719720,518790,0.023059
719720,211260,0.046512
719720,454140,0.023059
719720,841370,0.023059
719720,359220,0.023059
719720,948630,0.023059
719720,208480,0.023059
719720,240,0.023059
719720,397900,0.023059
719720,1096010,0.023059
719720,400630,0.023059
719720,252330,0.023059
719720,601430,0.023059
719720,865090,0.023059
719720,458710,0.023059
719720,416000,0.023059
719720,390030,0.023059
719720,420,0.023059
