Id,Label,timeset,modularity_class
332800,332800,,7
211260,211260,,0
105600,105600,,1
250520,250520,,3
458710,458710,,3
518790,518790,,7
418370,418370,,30
431240,431240,,11
283040,283040,,3
22490,22490,,30
256370,256370,,11
220,220,,11
368500,368500,,30
99910,99910,,2
314340,314340,,11
384680,384680,,3
65800,65800,,3
550650,550650,,3
271590,271590,,4
251430,251430,,11
335620,335620,,7
834910,834910,,3
610310,610310,,5
3900,3900,,30
528110,528110,,11
530620,530620,,7
400630,400630,,3
299500,299500,,11
485510,485510,,30
340,340,,3
277430,277430,,11
405500,405500,,9
312280,312280,,11
819630,819630,,3
906870,906870,,30
254700,254700,,30
225320,225320,,11
1089350,1089350,,30
320,320,,7
414340,414340,,30
319510,319510,,30
8140,8140,,11
466270,466270,,6
255520,255520,,7
744900,744900,,30
814380,814380,,30
381590,381590,,23
33930,33930,,30
388090,388090,,7
40390,40390,,11
838390,838390,,7
3590,3590,,3
602960,602960,,30
647960,647960,,8
438740,438740,,7
48190,48190,,3
670290,670290,,7
311560,311560,,7
587650,587650,,7
365020,365020,,7
55140,55140,,30
890970,890970,,7
12170,12170,,9
20920,20920,,11
668840,668840,,30
1057720,1057720,,30
227940,227940,,30
225020,225020,,11
951740,951740,,11
883710,883710,,11
400800,400800,,10
582160,582160,,7
296200,296200,,11
452570,452570,,12
517630,517630,,30
354200,354200,,13
967050,967050,,30
460950,460950,,3
243450,243450,,30
240,240,,11
819080,819080,,14
362830,362830,,15
378540,378540,,16
663370,663370,,3
513710,513710,,3
812440,812440,,7
336150,336150,,11
228300,228300,,7
359550,359550,,7
359220,359220,,17
661790,661790,,7
225000,225000,,11
463350,463350,,30
12100,12100,,24
958260,958260,,3
209100,209100,,3
401680,401680,,7
203160,203160,,30
711540,711540,,23
50,50,,26
70620,70620,,3
280,280,,30
552500,552500,,7
594650,594650,,30
535700,535700,,11
222480,222480,,7
831250,831250,,3
7520,7520,,3
272890,272890,,18
880470,880470,,3
224960,224960,,23
643590,643590,,3
865090,865090,,19
346470,346470,,20
91700,91700,,30
360430,360430,,23
502720,502720,,7
417750,417750,,7
961440,961440,,11
385760,385760,,30
858210,858210,,7
304240,304240,,7
434460,434460,,3
8930,8930,,3
388410,388410,,30
32360,32360,,21
462200,462200,,11
719720,719720,,22
588750,588750,,30
70,70,,7
636070,636070,,23
12180,12180,,9
300380,300380,,7
603700,603700,,30
354140,354140,,7
661940,661940,,3
392110,392110,,7
289650,289650,,11
431730,431730,,3
7000,7000,,30
290930,290930,,7
691630,691630,,7
447530,447530,,11
380,380,,7
537630,537630,,3
15100,15100,,30
3910,3910,,30
281990,281990,,7
812140,812140,,30
42700,42700,,7
12120,12120,,24
877180,877180,,3
640820,640820,,3
454140,454140,,25
20900,20900,,30
513650,513650,,30
343780,343780,,7
246420,246420,,3
360,360,,30
496790,496790,,3
1070040,1070040,,11
261980,261980,,30
420,420,,7
514900,514900,,30
8800,8800,,3
779430,779430,,3
291480,291480,,7
404410,404410,,7
626610,626610,,11
1054580,1054580,,11
345660,345660,,30
204530,204530,,11
223470,223470,,7
8000,8000,,11
265300,265300,,30
668430,668430,,11
130,130,,26
393190,393190,,7
394360,394360,,11
296490,296490,,7
730,730,,30
470220,470220,,3
550,550,,7
252330,252330,,7
12110,12110,,27
458830,458830,,11
555440,555440,,30
390030,390030,,3
726590,726590,,30
381210,381210,,7
489940,489940,,3
1096010,1096010,,30
201870,201870,,30
334940,334940,,3
552990,552990,,3
225300,225300,,30
17570,17570,,28
550840,550840,,11
260210,260210,,11
242050,242050,,23
383120,383120,,29
630,630,,7
233410,233410,,30
397900,397900,,3
416000,416000,,3
601430,601430,,3
619930,619930,,11
851940,851940,,3
298630,298630,,3
693960,693960,,30
32460,32460,,23
911400,911400,,30
599460,599460,,31
679990,679990,,7
521580,521580,,3
894940,894940,,32
339610,339610,,3
224980,224980,,11
755500,755500,,30
268870,268870,,7
590950,590950,,3
287290,287290,,7
406970,406970,,7
21690,21690,,7
641080,641080,,30
282800,282800,,3
1072610,1072610,,3
571740,571740,,3
240600,240600,,30
1049660,1049660,,33
10090,10090,,3
221040,221040,,7
339340,339340,,7
277590,277590,,11
487770,487770,,11
331600,331600,,30
774171,774171,,3
10,10,,30
506610,506610,,7
201790,201790,,7
520940,520940,,11
306020,306020,,3
841370,841370,,30
760630,760630,,30
747250,747250,,23
343990,343990,,11
1079420,1079420,,11
948630,948630,,11
718590,718590,,7
33230,33230,,30
362490,362490,,7
208480,208480,,11
218230,218230,,30
596650,596650,,3
4570,4570,,11
356310,356310,,3
663390,663390,,34
286160,286160,,3
802320,802320,,3
