Id,Label,timeset,modularity_class,pageranks
221040,221040,,13,0.01869
339340,339340,,35,0.010026
277590,277590,,9,0.003432
487770,487770,,13,0.003111
331600,331600,,60,0.000789
774171,774171,,61,0.000789
10,10,,35,0.004373
506610,506610,,13,0.001273
201790,201790,,27,0.006172
520940,520940,,9,0.010936
306020,306020,,62,0.000789
841370,841370,,13,0.002721
760630,760630,,13,0.002976
747250,747250,,9,0.003477
343990,343990,,13,0.002504
1079420,1079420,,9,0.001158
948630,948630,,9,0.001812
718590,718590,,2,0
33230,33230,,13,0.001182
362490,362490,,10,0
208480,208480,,9,0.003624
218230,218230,,27,0.008732
596650,596650,,27,0.003989
4570,4570,,9,0.001173
356310,356310,,63,0.000789
663390,663390,,64,0.000789
286160,286160,,65,0.000789
802320,802320,,13,0.00095
