Id,Label,timeset,modularity_class
246420,246420,,5
12180,12180,,5
311560,311560,,4
319510,319510,,4
691630,691630,,3
300380,300380,,5
393190,393190,,0
32460,32460,,4
91700,91700,,7
225000,225000,,3
204530,204530,,4
594650,594650,,7
404410,404410,,1
392110,392110,,5
744900,744900,,4
858210,858210,,5
225320,225320,,4
911400,911400,,3
779430,779430,,4
961440,961440,,4
719720,719720,,5
414340,414340,,7
12100,12100,,5
340,340,,5
640820,640820,,5
384680,384680,,5
21690,21690,,2
277590,277590,,5
280,280,,4
40390,40390,,5
354140,354140,,4
1049660,1049660,,5
812440,812440,,6
1070040,1070040,,5
668840,668840,,5
670290,670290,,5
890970,890970,,7
362490,362490,,6
256370,256370,,5
222480,222480,,3
223470,223470,,7
10090,10090,,5
520940,520940,,5
224980,224980,,4
760630,760630,,3
290930,290930,,3
306020,306020,,5
220,220,,5
3590,3590,,3
514900,514900,,7
3910,3910,,7
502720,502720,,5
8140,8140,,4
431730,431730,,5
747250,747250,,5
343780,343780,,5
647960,647960,,5
406970,406970,,5
447530,447530,,4
438740,438740,,4
227940,227940,,4
343990,343990,,5
261980,261980,,5
590950,590950,,6
1054580,1054580,,5
289650,289650,,5
312280,312280,,5
528110,528110,,4
130,130,,5
661940,661940,,5
385760,385760,,4
339610,339610,,4
603700,603700,,4
7520,7520,,5
12170,12170,,5
663390,663390,,5
730,730,,5
518790,518790,,3
388410,388410,,7
462200,462200,,4
211260,211260,,5
487770,487770,,4
454140,454140,,5
271590,271590,,5
841370,841370,,5
4570,4570,,4
359220,359220,,3
602960,602960,,4
948630,948630,,5
10,10,,4
1057720,1057720,,4
418370,418370,,5
208480,208480,,5
555440,555440,,7
240,240,,3
397900,397900,,6
470220,470220,,4
1096010,1096010,,5
400630,400630,,3
252330,252330,,5
601430,601430,,3
299500,299500,,7
368500,368500,,3
3900,3900,,4
865090,865090,,3
394360,394360,,4
12110,12110,,4
458710,458710,,3
416000,416000,,3
390030,390030,,3
42700,42700,,7
420,420,,3
588750,588750,,4
535700,535700,,5
8930,8930,,3
417750,417750,,7
967050,967050,,4
958260,958260,,3
537630,537630,,3
405500,405500,,3
641080,641080,,3
70620,70620,,3
401680,401680,,4
50,50,,5
296490,296490,,4
360430,360430,,3
360,360,,7
359550,359550,,3
243450,243450,,4
331600,331600,,5
458830,458830,,3
596650,596650,,5
400800,400800,,7
15100,15100,,3
831250,831250,,4
224960,224960,,4
381210,381210,,5
314340,314340,,4
272890,272890,,7
356310,356310,,5
530620,530620,,6
221040,221040,,3
906870,906870,,4
242050,242050,,3
819630,819630,,5
233410,233410,,4
381590,381590,,3
225300,225300,,4
70,70,,4
55140,55140,,3
663370,663370,,3
203160,203160,,7
388090,388090,,4
251430,251430,,5
513650,513650,,3
320,320,,3
250520,250520,,4
466270,466270,,3
894940,894940,,5
20920,20920,,7
619930,619930,,3
951740,951740,,3
812140,812140,,3
814380,814380,,7
489940,489940,,3
287290,287290,,6
819080,819080,,4
260210,260210,,3
452570,452570,,3
383120,383120,,3
463350,463350,,4
105600,105600,,3
335620,335620,,5
283040,283040,,5
291480,291480,,3
8800,8800,,4
610310,610310,,5
99910,99910,,3
1089350,1089350,,7
485510,485510,,7
838390,838390,,5
201790,201790,,4
354200,354200,,5
851940,851940,,4
506610,506610,,3
298630,298630,,3
834910,834910,,3
693960,693960,,3
268870,268870,,7
336150,336150,,4
431240,431240,,5
774171,774171,,3
517630,517630,,6
513710,513710,,4
65800,65800,,7
571740,571740,,3
883710,883710,,6
718590,718590,,5
880470,880470,,4
496790,496790,,3
225020,225020,,3
550650,550650,,5
552500,552500,,5
582160,582160,,5
599460,599460,,3
48190,48190,,3
460950,460950,,3
346470,346470,,5
22490,22490,,4
521580,521580,,3
630,630,,3
33230,33230,,3
802320,802320,,6
282800,282800,,3
201870,201870,,5
286160,286160,,4
209100,209100,,7
304240,304240,,4
434460,434460,,3
339340,339340,,6
643590,643590,,3
7000,7000,,4
32360,32360,,6
334940,334940,,3
281990,281990,,3
378540,378540,,3
726590,726590,,4
380,380,,4
552990,552990,,3
218230,218230,,5
668430,668430,,3
265300,265300,,3
254700,254700,,7
240600,240600,,3
255520,255520,,8
8000,8000,,4
362830,362830,,3
33930,33930,,7
277430,277430,,3
550,550,,4
636070,636070,,7
661790,661790,,7
755500,755500,,3
17570,17570,,5
877180,877180,,3
1072610,1072610,,3
587650,587650,,3
345660,345660,,3
228300,228300,,4
365020,365020,,4
1079420,1079420,,4
626610,626610,,3
296200,296200,,3
550840,550840,,4
20900,20900,,3
711540,711540,,3
332800,332800,,4
679990,679990,,4
12120,12120,,5
