source,target,weight
246420,406970,0.006065999999999999
246420,12170,0.006065999999999999
246420,65800,0.006062
246420,218230,0.006065999999999999
311560,204530,0.000103
311560,8140,0.001424
311560,528110,6e-06
311560,603700,0.001807
311560,296490,8.3e-05
311560,243450,0.001417
311560,336150,0.001307
311560,304240,0.00017
311560,1079420,0.001003
311560,550840,0.001314
319510,7000,0.0007559999999999999
300380,838390,0.009433
204530,8140,0.001322
204530,528110,0.000108
204530,603700,0.001704
204530,296490,0.000185
204530,243450,0.001315
204530,336150,0.001204
204530,304240,6.7e-05
204530,1079420,0.000901
204530,550840,0.0012109999999999998
744900,40390,0.004918
744900,339610,2.4e-05
744900,50,0.004898
744900,381210,0.000892
744900,272890,0.004917
744900,906870,0.0008039999999999999
744900,251430,0.004897
744900,894940,0.0049310000000000005
744900,610310,0.004957
744900,838390,0.008882
744900,354200,0.004911
744900,552500,0.002944
744900,582160,0.004949
744900,201870,0.004898
858210,640820,0.004915
858210,730,0.0054020000000000006
858210,431240,0.004994
858210,517630,0.005723
858210,883710,0.005908
858210,718590,0.0058850000000000005
858210,460950,0.005249
858210,802320,0.005894
858210,32360,0.005836
225320,438740,0.003771
911400,640820,0.004915
911400,730,0.0054020000000000006
911400,431240,0.004994
911400,517630,0.005723
911400,883710,0.005908
911400,718590,0.0058850000000000005
911400,460950,0.005249
911400,802320,0.005894
911400,32360,0.005836
961440,502720,3.1e-05
961440,462200,1.8e-05
961440,4570,0.00368
961440,1057720,1.3e-05
961440,394360,0.000116
961440,535700,4e-05
961440,331600,2.8000000000000006e-05
961440,233410,8.6e-05
961440,283040,3.7e-05
961440,880470,9e-05
961440,346470,0.000112
719720,40390,0.006156
719720,50,0.006193
719720,381210,0.009699
719720,272890,0.0062
719720,906870,0.009768
719720,251430,0.006198
719720,894940,0.00614
719720,610310,0.00618
719720,354200,0.006202
719720,552500,0.007868
719720,582160,0.006185
719720,201870,0.006203
340,640820,0.004915
340,730,0.0054020000000000006
340,431240,0.004994
340,517630,0.005723
340,883710,0.005908
340,718590,0.0058850000000000005
340,460950,0.005249
340,802320,0.005894
340,32360,0.005836
640820,384680,0.004915
640820,277590,0.004915
640820,1049660,0.004915
640820,1070040,0.004915
640820,670290,0.004915
640820,256370,0.004915
640820,10090,0.004915
640820,520940,0.004915
640820,760630,0.004915
640820,290930,0.004915
640820,306020,0.004915
640820,220,0.004915
640820,3590,0.004915
640820,431730,0.004915
640820,343780,0.004915
640820,647960,0.004915
640820,343990,0.004915
640820,261980,0.004915
640820,590950,0.004915
640820,1054580,0.004915
640820,289650,0.004915
640820,312280,0.004915
640820,130,0.004915
640820,661940,0.004915
640820,663390,0.004915
640820,730,0.008627
640820,518790,0.004915
640820,454140,0.004915
640820,841370,0.004915
640820,359220,0.004915
640820,948630,0.004915
640820,208480,0.004915
640820,240,0.004915
640820,397900,0.004915
640820,1096010,0.004915
640820,400630,0.004915
640820,252330,0.004915
640820,601430,0.004915
640820,865090,0.004915
640820,458710,0.004915
640820,416000,0.004915
640820,390030,0.004915
640820,420,0.004915
640820,8930,0.004915
640820,958260,0.004915
640820,537630,0.004915
640820,405500,0.004915
640820,641080,0.004915
640820,70620,0.004915
640820,360430,0.004915
640820,359550,0.004915
640820,458830,0.004915
640820,15100,0.004915
640820,242050,0.004915
640820,381590,0.004915
640820,55140,0.004915
640820,663370,0.004915
640820,513650,0.004915
640820,466270,0.004915
640820,619930,0.004915
640820,951740,0.004915
640820,812140,0.004915
640820,489940,0.004915
640820,260210,0.004915
640820,452570,0.004915
640820,383120,0.004915
640820,105600,0.004915
640820,291480,0.004915
640820,99910,0.004915
640820,298630,0.004915
640820,834910,0.004915
640820,693960,0.004915
640820,431240,0.000234
640820,774171,0.004915
640820,517630,0.00177
