Id,Label,timeset,modularity_class
246420,246420,,0
12180,12180,,1
311560,311560,,29
319510,319510,,2
691630,691630,,3
300380,300380,,12
393190,393190,,4
32460,32460,,5
91700,91700,,6
225000,225000,,7
204530,204530,,29
594650,594650,,8
404410,404410,,9
392110,392110,,10
744900,744900,,12
858210,858210,,60
225320,225320,,27
911400,911400,,60
779430,779430,,11
961440,961440,,33
719720,719720,,12
414340,414340,,13
12100,12100,,14
340,340,,60
640820,640820,,60
384680,384680,,60
21690,21690,,15
277590,277590,,60
280,280,,16
40390,40390,,12
354140,354140,,17
1049660,1049660,,60
812440,812440,,18
1070040,1070040,,60
668840,668840,,56
670290,670290,,60
890970,890970,,19
362490,362490,,20
256370,256370,,60
222480,222480,,21
223470,223470,,22
10090,10090,,60
520940,520940,,60
224980,224980,,63
760630,760630,,60
290930,290930,,60
306020,306020,,60
220,220,,60
3590,3590,,60
514900,514900,,23
3910,3910,,24
502720,502720,,33
8140,8140,,29
431730,431730,,60
747250,747250,,25
343780,343780,,60
647960,647960,,60
406970,406970,,0
447530,447530,,26
438740,438740,,27
227940,227940,,37
343990,343990,,60
261980,261980,,60
590950,590950,,60
1054580,1054580,,60
289650,289650,,60
312280,312280,,60
528110,528110,,29
130,130,,60
661940,661940,,60
385760,385760,,28
339610,339610,,12
603700,603700,,29
7520,7520,,30
12170,12170,,0
663390,663390,,60
730,730,,60
518790,518790,,60
388410,388410,,31
462200,462200,,33
211260,211260,,32
487770,487770,,16
454140,454140,,60
271590,271590,,12
841370,841370,,60
4570,4570,,33
359220,359220,,60
602960,602960,,56
948630,948630,,60
10,10,,34
1057720,1057720,,33
418370,418370,,35
208480,208480,,60
555440,555440,,36
240,240,,60
397900,397900,,60
470220,470220,,37
1096010,1096010,,60
400630,400630,,60
252330,252330,,60
601430,601430,,60
299500,299500,,38
368500,368500,,32
3900,3900,,39
865090,865090,,60
394360,394360,,33
12110,12110,,16
458710,458710,,60
416000,416000,,60
390030,390030,,60
42700,42700,,40
420,420,,60
588750,588750,,56
535700,535700,,33
8930,8930,,60
417750,417750,,41
967050,967050,,37
958260,958260,,60
537630,537630,,60
405500,405500,,60
641080,641080,,60
70620,70620,,60
401680,401680,,42
50,50,,12
296490,296490,,29
360430,360430,,60
360,360,,43
359550,359550,,60
243450,243450,,29
331600,331600,,33
458830,458830,,60
596650,596650,,44
400800,400800,,45
15100,15100,,60
831250,831250,,56
224960,224960,,46
381210,381210,,12
314340,314340,,47
272890,272890,,12
356310,356310,,56
530620,530620,,48
221040,221040,,49
906870,906870,,12
242050,242050,,60
819630,819630,,50
233410,233410,,33
381590,381590,,60
225300,225300,,51
70,70,,52
55140,55140,,60
663370,663370,,60
203160,203160,,57
388090,388090,,53
251430,251430,,12
513650,513650,,60
320,320,,32
250520,250520,,63
466270,466270,,60
894940,894940,,12
20920,20920,,54
619930,619930,,60
951740,951740,,60
812140,812140,,60
814380,814380,,36
489940,489940,,60
287290,287290,,55
819080,819080,,63
260210,260210,,60
452570,452570,,60
383120,383120,,60
463350,463350,,56
105600,105600,,60
335620,335620,,56
283040,283040,,33
291480,291480,,60
8800,8800,,63
610310,610310,,12
99910,99910,,60
1089350,1089350,,57
485510,485510,,31
838390,838390,,12
201790,201790,,58
354200,354200,,12
851940,851940,,39
506610,506610,,59
298630,298630,,60
834910,834910,,60
693960,693960,,60
268870,268870,,67
336150,336150,,29
431240,431240,,60
774171,774171,,60
517630,517630,,60
513710,513710,,28
65800,65800,,0
571740,571740,,60
883710,883710,,60
718590,718590,,60
880470,880470,,33
496790,496790,,60
225020,225020,,60
550650,550650,,56
552500,552500,,12
582160,582160,,12
599460,599460,,60
48190,48190,,60
460950,460950,,60
346470,346470,,33
22490,22490,,28
521580,521580,,60
630,630,,61
33230,33230,,60
802320,802320,,60
282800,282800,,60
201870,201870,,12
286160,286160,,37
209100,209100,,56
304240,304240,,29
434460,434460,,60
339340,339340,,62
643590,643590,,60
7000,7000,,2
32360,32360,,60
334940,334940,,60
281990,281990,,60
378540,378540,,60
726590,726590,,63
380,380,,37
552990,552990,,60
218230,218230,,0
668430,668430,,64
265300,265300,,40
254700,254700,,32
240600,240600,,60
255520,255520,,65
8000,8000,,16
362830,362830,,60
33930,33930,,67
277430,277430,,60
550,550,,66
636070,636070,,67
661790,661790,,68
755500,755500,,60
17570,17570,,12
877180,877180,,60
1072610,1072610,,60
587650,587650,,60
345660,345660,,60
228300,228300,,63
365020,365020,,69
1079420,1079420,,29
626610,626610,,60
296200,296200,,60
550840,550840,,29
20900,20900,,60
711540,711540,,60
332800,332800,,70
679990,679990,,71
12120,12120,,72
