Source,Target,Type,Id,Label,timeset,Weight
332800,211260,Directed,334100,,,0.506828
332800,105600,Directed,334101,,,0.49091
332800,250520,Directed,334102,,,0.510401
332800,458710,Directed,334103,,,0.485152
332800,518790,Directed,334104,,,0.445088
332800,418370,Directed,334105,,,0.475576
332800,431240,Directed,334106,,,0.533626
332800,283040,Directed,334107,,,0.390916
332800,22490,Directed,334108,,,0.528202
332800,256370,Directed,334109,,,0.522106
332800,220,Directed,334110,,,0.373822
332800,368500,Directed,334111,,,0.547444
332800,99910,Directed,334112,,,0.697186
332800,314340,Directed,334113,,,0.316895
332800,384680,Directed,334114,,,0.374551
332800,65800,Directed,334115,,,0.510192
332800,550650,Directed,334116,,,0.429417
332800,271590,Directed,334117,,,0.569352
332800,251430,Directed,334118,,,0.368762
332800,335620,Directed,334119,,,0.445451
332800,834910,Directed,334120,,,0.523297
332800,610310,Directed,334121,,,0.598793
332800,3900,Directed,334122,,,0.454491
332800,528110,Directed,334123,,,0.529022
332800,530620,Directed,334124,,,0.4126
332800,400630,Directed,334125,,,0.394801
332800,299500,Directed,334126,,,0.370669
332800,485510,Directed,334127,,,0.459453
332800,340,Directed,334128,,,0.390687
332800,277430,Directed,334129,,,0.467706
332800,405500,Directed,334130,,,0.437691
332800,312280,Directed,334131,,,0.4215
332800,819630,Directed,334132,,,0.499532
332800,906870,Directed,334133,,,0.429408
332800,254700,Directed,334134,,,0.541814
332800,225320,Directed,334135,,,0.401353
332800,1089350,Directed,334136,,,0.440915
332800,320,Directed,334137,,,0.397172
332800,414340,Directed,334138,,,0.423507
332800,319510,Directed,334139,,,0.355571
332800,8140,Directed,334140,,,0.405481
332800,466270,Directed,334141,,,0.469479
332800,255520,Directed,334142,,,0.430111
332800,744900,Directed,334143,,,0.446707
332800,814380,Directed,334144,,,0.468443
332800,381590,Directed,334145,,,0.515044
332800,33930,Directed,334146,,,0.560567
332800,388090,Directed,334147,,,0.272532
332800,40390,Directed,334148,,,0.543007
332800,838390,Directed,334149,,,0.328908
332800,3590,Directed,334150,,,0.520001
332800,602960,Directed,334151,,,0.476875
332800,647960,Directed,334152,,,0.58352
