source,target,weight
246420,392110,0.006059
246420,858210,0.006059
246420,911400,0.006059
246420,12100,0.004207
246420,340,0.006059
246420,384680,0.006059
246420,277590,0.006059
246420,40390,0.004462
246420,1049660,0.006059
246420,1070040,0.006059
246420,670290,0.006059
246420,256370,0.006059
246420,222480,0.004249
246420,10090,0.006059
246420,520940,0.006059
246420,760630,0.006059
246420,290930,0.006059
246420,306020,0.006059
246420,220,0.006059
246420,3590,0.006059
246420,431730,0.006059
246420,343780,0.006059
246420,647960,0.006059
246420,343990,0.006059
246420,261980,0.006059
246420,590950,0.006059
246420,1054580,0.006059
246420,289650,0.006059
246420,312280,0.006059
246420,130,0.006059
246420,661940,0.006059
246420,663390,0.006059
246420,730,0.004941
246420,518790,0.006059
246420,454140,0.006059
246420,271590,0.004368
246420,841370,0.006059
246420,359220,0.006059
246420,948630,0.006059
246420,418370,0.003937
246420,208480,0.006059
246420,240,0.006059
246420,397900,0.006059
246420,1096010,0.006059
246420,400630,0.006059
246420,252330,0.006059
246420,601430,0.006059
246420,865090,0.006059
246420,458710,0.006059
246420,416000,0.006059
246420,390030,0.006059
246420,420,0.006059
246420,8930,0.006059
246420,958260,0.006059
246420,537630,0.006059
246420,405500,0.006059
246420,641080,0.006059
246420,70620,0.006059
246420,50,0.004267
246420,360430,0.006059
246420,359550,0.006059
246420,458830,0.006059
246420,596650,0.004182
246420,15100,0.006059
246420,272890,0.003819
246420,356310,0.004370000000000001
246420,221040,0.004274
246420,242050,0.006059
246420,819630,0.004228
246420,381590,0.006059
246420,55140,0.006059
246420,663370,0.006059
246420,251430,0.004221
246420,513650,0.006059
246420,466270,0.006059
246420,894940,0.004509
246420,619930,0.006059
246420,951740,0.006059
246420,812140,0.006059
246420,489940,0.006059
246420,260210,0.006059
246420,452570,0.006059
246420,383120,0.006059
246420,463350,0.004192
246420,105600,0.006059
246420,291480,0.006059
246420,610310,0.003633
246420,99910,0.006059
246420,354200,0.003954
246420,506610,0.00428
246420,298630,0.006059
246420,834910,0.006059
246420,693960,0.006059
246420,431240,0.004408
246420,774171,0.006059
246420,571740,0.006059
246420,883710,0.003377
246420,718590,0.003332
246420,496790,0.006059
246420,225020,0.006059
246420,552500,0.00417
246420,582160,0.003685
246420,599460,0.006059
246420,48190,0.006059
246420,460950,0.004207
246420,521580,0.006059
246420,630,0.004222
246420,33230,0.006059
246420,802320,0.003354
246420,282800,0.006059
246420,201870,0.004129
246420,434460,0.006059
246420,643590,0.006059
246420,32360,0.003288
246420,334940,0.006059
246420,281990,0.006059
246420,378540,0.006059
246420,552990,0.006059
246420,668430,0.004922
246420,240600,0.006059
246420,362830,0.006059
246420,277430,0.006059
246420,755500,0.006059
246420,17570,0.00436
246420,877180,0.006059
246420,1072610,0.006059
246420,587650,0.006059
246420,345660,0.006059
246420,626610,0.006059
246420,296200,0.006059
246420,20900,0.006059
246420,711540,0.006059
311560,296490,2.9e-05
319510,91700,5e-06
319510,223470,4e-06
319510,514900,1.5e-05
319510,299500,7.000000000000002e-06
319510,417750,1e-05
319510,400800,2e-06
319510,203160,1.1e-05
319510,1089350,6e-06
319510,255520,6e-06
319510,550,6e-06
691630,404410,0.003025
691630,406970,0.000934
691630,7520,0.0006490000000000001
691630,12170,0.0008849999999999998
691630,211260,0.000458
691630,368500,0.000128
691630,42700,0.0006889999999999999
691630,360,0.000891
691630,320,8.9e-05
691630,485510,0.000727
691630,65800,0.001716
691630,218230,0.000824
691630,265300,0.000638
691630,254700,0.000183
691630,33930,0.00021
691630,636070,0.00013700000000000002
691630,661790,0.00269
393190,280,0.001485
393190,354140,0.001186
393190,224980,0.001672
393190,227940,0.001315
393190,487770,0.001432
393190,10,0.001836
393190,470220,0.001266
393190,12110,0.001451
393190,967050,0.001275
393190,314340,0.005433
393190,225300,0.001052
393190,70,0.001342
393190,819080,0.001689
393190,8800,0.001644
393190,286160,0.001231
393190,726590,0.001594
393190,8000,0.001402
393190,228300,0.001803
393190,332800,0.000926
32460,204530,0.002286
32460,744900,0.001531
32460,225320,0.003514
32460,779430,0.002305
32460,961440,0.002339
32460,668840,0.002011
32460,502720,0.002397
32460,8140,0.0026100000000000003
32460,438740,0.002362
32460,528110,0.002298
32460,385760,0.001301
32460,339610,0.001599
32460,603700,0.002912
32460,462200,0.002367
32460,4570,0.002854
32460,602960,0.001762
32460,1057720,0.002359
32460,394360,0.0022670000000000004
32460,588750,0.000921
32460,535700,0.002412
32460,401680,0.002978
32460,243450,0.0026030000000000003
32460,331600,0.002388
32460,831250,0.001597
32460,224960,0.002313
32460,381210,0.002195
32460,906870,0.001896
32460,233410,0.002271
32460,250520,0.002463
32460,335620,0.00165
32460,283040,0.002408
32460,838390,0.001522
32460,851940,0.003695
32460,336150,0.002521
32460,513710,0.002018
32460,880470,0.00227
32460,550650,0.001836
32460,346470,0.0022670000000000004
32460,22490,0.003098
32460,209100,0.0020870000000000003
32460,304240,0.002279
32460,7000,0.0028420000000000003
32460,1079420,0.002358
32460,550840,0.002545
32460,679990,0.002783
91700,223470,8e-06
91700,514900,1e-05
91700,299500,3e-06
91700,417750,6e-06
91700,400800,3e-06
91700,203160,7.000000000000002e-06
91700,1089350,2e-06
91700,255520,1.1e-05
91700,550,1e-05
204530,744900,0.003679
204530,225320,0.002698
204530,779430,9.6e-05
204530,961440,0.000282
204530,668840,0.004115
204530,502720,0.000478
204530,8140,0.001659
204530,438740,0.000313
204530,528110,8.4e-05
204530,385760,0.003472
204530,339610,0.003745000000000001
204530,603700,0.002221
204530,462200,0.000396
204530,4570,0.002122
204530,602960,0.003863
204530,1057720,0.000359
204530,394360,0.000251
204530,588750,0.00313
204530,535700,0.000535
204530,401680,0.0033380000000000003
204530,243450,0.001646
204530,331600,0.000458
204530,831250,0.003768
204530,224960,0.000175
204530,381210,0.004292
204530,906870,0.003993
204530,233410,0.000147
204530,250520,0.001313
204530,335620,0.003758
204530,283040,0.000518
204530,838390,0.003617
204530,851940,0.004173
204530,336150,0.00146
204530,513710,0.002355
204530,880470,0.000164
204530,550650,0.003922
204530,346470,0.000239
204530,22490,0.003545000000000001
204530,209100,0.004192
204530,304240,5.5e-05
204530,7000,0.003265
204530,1079420,0.000986
204530,550840,0.00148
204530,679990,0.003183
594650,414340,4e-06
594650,890970,0.0
594650,3910,4e-06
594650,388410,4e-06
594650,555440,3e-06
594650,20920,4e-06
594650,814380,3e-06
594650,268870,4e-06
404410,406970,0.003959000000000001
404410,7520,0.003675
404410,12170,0.00391
404410,211260,0.003483
404410,368500,0.003153
404410,42700,0.002336
404410,360,0.002134
404410,320,0.003114
404410,485510,0.002299
404410,65800,0.004741
404410,218230,0.00385
404410,265300,0.002387
404410,254700,0.003208
404410,33930,0.002815
404410,636070,0.002888
404410,661790,0.000335
392110,12100,0.005543
392110,40390,0.009082
392110,222480,0.005953
392110,730,0.0053490000000000005
392110,271590,0.008962000000000001
392110,418370,0.008341
392110,50,0.008827
392110,596650,0.008911
392110,272890,0.008149
392110,356310,0.00906
392110,221040,0.0058850000000000005
392110,819630,0.004
392110,251430,0.008764
392110,894940,0.00914
392110,463350,0.008931999999999999
392110,610310,0.007816
392110,354200,0.008368
392110,506610,0.005914
392110,431240,0.005026
392110,883710,0.007259999999999998
392110,718590,0.007148999999999998
392110,552500,0.0089
392110,582160,0.007915
392110,460950,0.005495
392110,630,0.005688
392110,802320,0.007198
392110,201870,0.008634000000000001
392110,32360,0.006997
392110,668430,0.003707
392110,17570,0.00895
744900,225320,0.004989
744900,779430,0.003677
744900,961440,0.003664
744900,668840,0.000484
744900,502720,0.003669
744900,8140,0.004132
744900,438740,0.00368
744900,528110,0.003672
744900,385760,0.000232
744900,339610,6.9e-05
744900,603700,0.004397
744900,462200,0.003662
744900,4570,0.004347
744900,602960,0.000253
744900,1057720,0.003664
744900,394360,0.00371
744900,588750,0.000615
744900,535700,0.003668
744900,401680,0.004189
744900,243450,0.0041270000000000005
744900,331600,0.003666
744900,831250,0.000109
744900,224960,0.003666
744900,381210,0.000668
744900,906870,0.000378
744900,233410,0.003694
744900,250520,0.003993
744900,335620,0.000154
744900,283040,0.003669
744900,838390,0.000154
744900,851940,0.004767
744900,336150,0.00405
744900,513710,0.003392
744900,880470,0.003697
744900,550650,0.000334
744900,346470,0.003707
744900,22490,0.004257
744900,209100,0.000558
744900,304240,0.003683
744900,7000,0.004048
744900,1079420,0.003882
744900,550840,0.004074
744900,679990,0.004007
858210,12100,0.005543
858210,40390,0.009082
858210,222480,0.005953
858210,730,0.0053490000000000005
858210,271590,0.008962000000000001
858210,418370,0.008341
858210,50,0.008827
858210,596650,0.008911
858210,272890,0.008149
858210,356310,0.00906
858210,221040,0.0058850000000000005
858210,819630,0.004
858210,251430,0.008764
858210,894940,0.00914
858210,463350,0.008931999999999999
858210,610310,0.007816
858210,354200,0.008368
858210,506610,0.005914
858210,431240,0.005026
858210,883710,0.007259999999999998
858210,718590,0.007148999999999998
858210,552500,0.0089
858210,582160,0.007915
858210,460950,0.005495
858210,630,0.005688
858210,802320,0.007198
858210,201870,0.008634000000000001
858210,32360,0.006997
858210,668430,0.003707
858210,17570,0.00895
225320,779430,0.002793
225320,961440,0.002979
225320,668840,0.005471
225320,502720,0.003173
225320,8140,0.001082
225320,438740,0.003008
225320,528110,0.002782
225320,385760,0.004758
225320,339610,0.005055
225320,603700,0.000607
225320,462200,0.003092
225320,4570,0.000681
225320,602960,0.005236
225320,1057720,0.003055
225320,394360,0.00245
225320,588750,0.004379
225320,535700,0.00323
225320,401680,0.00162
225320,243450,0.001094
225320,331600,0.003154
225320,831250,0.005032
225320,224960,0.002872
225320,381210,0.005652
225320,906870,0.005365999999999999
225320,233410,0.002552
225320,250520,0.001408
225320,335620,0.005125
225320,283040,0.003213
225320,838390,0.0050100000000000006
225320,851940,0.002166
225320,336150,0.001268
225320,513710,0.001667
225320,880470,0.002536
225320,550650,0.005314
225320,346470,0.002461
225320,22490,0.001794
225320,209100,0.005543
225320,304240,0.002644
225320,7000,0.001675
225320,1079420,0.001725
225320,550840,0.001244
