Id,Label,timeset,modularity_class
246420,246420,,5
12180,12180,,5
311560,311560,,4
319510,319510,,22
691630,691630,,22
300380,300380,,0
393190,393190,,3
32460,32460,,9
91700,91700,,22
225000,225000,,5
204530,204530,,4
594650,594650,,22
404410,404410,,22
392110,392110,,5
744900,744900,,9
858210,858210,,5
225320,225320,,4
911400,911400,,0
779430,779430,,4
961440,961440,,4
719720,719720,,1
414340,414340,,22
12100,12100,,8
340,340,,0
640820,640820,,1
384680,384680,,2
21690,21690,,7
277590,277590,,2
280,280,,3
40390,40390,,6
354140,354140,,3
1049660,1049660,,5
812440,812440,,7
1070040,1070040,,5
668840,668840,,9
670290,670290,,5
890970,890970,,22
362490,362490,,7
256370,256370,,5
222480,222480,,8
223470,223470,,22
10090,10090,,5
520940,520940,,5
224980,224980,,3
760630,760630,,0
290930,290930,,5
306020,306020,,0
220,220,,5
3590,3590,,0
514900,514900,,22
3910,3910,,22
502720,502720,,4
8140,8140,,4
431730,431730,,0
747250,747250,,9
343780,343780,,0
647960,647960,,5
406970,406970,,22
447530,447530,,7
438740,438740,,4
227940,227940,,3
343990,343990,,2
261980,261980,,2
590950,590950,,5
1054580,1054580,,0
289650,289650,,0
312280,312280,,5
528110,528110,,4
130,130,,0
661940,661940,,5
385760,385760,,9
339610,339610,,9
603700,603700,,4
7520,7520,,22
12170,12170,,22
663390,663390,,5
730,730,,22
518790,518790,,5
388410,388410,,22
462200,462200,,4
211260,211260,,22
487770,487770,,3
454140,454140,,5
271590,271590,,6
841370,841370,,5
4570,4570,,4
359220,359220,,5
602960,602960,,9
948630,948630,,5
10,10,,3
1057720,1057720,,4
418370,418370,,6
208480,208480,,5
555440,555440,,22
240,240,,5
397900,397900,,5
470220,470220,,3
1096010,1096010,,0
400630,400630,,0
252330,252330,,5
601430,601430,,0
299500,299500,,22
368500,368500,,22
3900,3900,,3
865090,865090,,0
394360,394360,,4
12110,12110,,3
458710,458710,,0
416000,416000,,0
390030,390030,,0
42700,42700,,22
420,420,,0
588750,588750,,9
535700,535700,,4
8930,8930,,0
417750,417750,,22
967050,967050,,3
958260,958260,,0
537630,537630,,0
405500,405500,,0
641080,641080,,5
70620,70620,,2
401680,401680,,4
50,50,,6
296490,296490,,4
360430,360430,,5
360,360,,22
359550,359550,,5
243450,243450,,4
331600,331600,,4
458830,458830,,0
596650,596650,,6
400800,400800,,22
15100,15100,,2
831250,831250,,9
224960,224960,,4
381210,381210,,9
314340,314340,,4
272890,272890,,6
356310,356310,,6
530620,530620,,7
221040,221040,,8
906870,906870,,9
242050,242050,,2
819630,819630,,8
233410,233410,,4
381590,381590,,2
225300,225300,,3
70,70,,3
55140,55140,,0
663370,663370,,0
203160,203160,,22
388090,388090,,3
251430,251430,,6
513650,513650,,2
320,320,,22
250520,250520,,4
466270,466270,,0
894940,894940,,6
20920,20920,,22
619930,619930,,5
951740,951740,,5
812140,812140,,5
814380,814380,,22
489940,489940,,0
287290,287290,,7
819080,819080,,3
260210,260210,,2
452570,452570,,5
383120,383120,,5
463350,463350,,6
105600,105600,,2
335620,335620,,9
283040,283040,,4
291480,291480,,5
8800,8800,,3
610310,610310,,6
99910,99910,,2
1089350,1089350,,22
485510,485510,,22
838390,838390,,9
201790,201790,,7
354200,354200,,6
851940,851940,,3
506610,506610,,8
298630,298630,,2
834910,834910,,0
693960,693960,,0
268870,268870,,22
336150,336150,,4
431240,431240,,1
774171,774171,,5
517630,517630,,6
513710,513710,,4
65800,65800,,22
571740,571740,,5
883710,883710,,6
718590,718590,,6
880470,880470,,4
496790,496790,,5
225020,225020,,10
550650,550650,,9
552500,552500,,6
582160,582160,,6
599460,599460,,11
48190,48190,,12
460950,460950,,8
346470,346470,,4
22490,22490,,3
521580,521580,,13
630,630,,8
33230,33230,,14
802320,802320,,6
282800,282800,,15
201870,201870,,6
286160,286160,,3
209100,209100,,9
304240,304240,,4
434460,434460,,16
339340,339340,,7
643590,643590,,17
7000,7000,,4
32360,32360,,6
334940,334940,,18
281990,281990,,19
378540,378540,,20
726590,726590,,3
380,380,,3
552990,552990,,5
218230,218230,,22
668430,668430,,21
265300,265300,,22
254700,254700,,22
240600,240600,,0
255520,255520,,22
8000,8000,,3
362830,362830,,5
33930,33930,,22
277430,277430,,2
550,550,,22
636070,636070,,22
661790,661790,,22
755500,755500,,23
17570,17570,,6
877180,877180,,24
1072610,1072610,,25
587650,587650,,26
345660,345660,,2
228300,228300,,3
365020,365020,,3
1079420,1079420,,4
626610,626610,,0
296200,296200,,0
550840,550840,,4
20900,20900,,5
711540,711540,,5
332800,332800,,3
679990,679990,,4
12120,12120,,0
