Source,Target,Type,Id,Label,timeset,Weight
246420,12180,Directed,182998,,,0.028123
246420,311560,Directed,182999,,,0.175198
246420,319510,Directed,183000,,,0.290878
246420,691630,Directed,183001,,,0.128325
246420,300380,Directed,183002,,,0.028099
246420,393190,Directed,183003,,,0.556969
246420,32460,Directed,183004,,,0.178273
246420,91700,Directed,183005,,,0.269676
246420,225000,Directed,183006,,,0.030734
246420,204530,Directed,183007,,,0.175536
246420,594650,Directed,183008,,,0.468067
246420,404410,Directed,183009,,,0.278841
246420,392110,Directed,183010,,,0.029172
246420,744900,Directed,183011,,,0.169699
246420,858210,Directed,183012,,,0.032194
246420,225320,Directed,183013,,,0.257279
246420,911400,Directed,183014,,,0.036332
246420,779430,Directed,183015,,,0.175215
246420,961440,Directed,183016,,,0.149091
246420,719720,Directed,183017,,,0.035974
246420,414340,Directed,183018,,,0.336145
246420,12100,Directed,183019,,,0.065121
246420,340,Directed,183020,,,0.026753
246420,640820,Directed,183021,,,0.053191
246420,384680,Directed,183022,,,0.03352
246420,21690,Directed,183023,,,0.794445
246420,277590,Directed,183024,,,0.028935
246420,280,Directed,183025,,,0.240107
246420,40390,Directed,183026,,,0.081257
246420,354140,Directed,183027,,,0.429924
246420,1049660,Directed,183028,,,0.027439
246420,812440,Directed,183029,,,0.328139
246420,1070040,Directed,183030,,,0.029682
246420,668840,Directed,183031,,,0.131117
246420,670290,Directed,183032,,,0.031015
246420,890970,Directed,183033,,,0.277782
246420,362490,Directed,183034,,,0.263805
246420,256370,Directed,183035,,,0.031652
246420,222480,Directed,183036,,,0.150936
246420,223470,Directed,183037,,,0.326307
246420,10090,Directed,183038,,,0.029145
246420,520940,Directed,183039,,,0.029891
246420,224980,Directed,183040,,,0.294855
246420,760630,Directed,183041,,,0.029161
246420,290930,Directed,183042,,,0.037287
246420,306020,Directed,183043,,,0.596834
246420,220,Directed,183044,,,0.06487
246420,3590,Directed,183045,,,0.031856
246420,514900,Directed,183046,,,0.219576
246420,3910,Directed,183047,,,0.291263
246420,502720,Directed,183048,,,0.149911
246420,8140,Directed,183049,,,0.205014
246420,431730,Directed,183050,,,0.028565
246420,747250,Directed,183051,,,0.152698
246420,343780,Directed,183052,,,0.029544
246420,647960,Directed,183053,,,0.023638
246420,406970,Directed,183054,,,0.070217
246420,447530,Directed,183055,,,0.186107
246420,438740,Directed,183056,,,0.155068
246420,227940,Directed,183057,,,0.347679
246420,343990,Directed,183058,,,0.063904
246420,261980,Directed,183059,,,0.032375
246420,590950,Directed,183060,,,0.028523
246420,1054580,Directed,183061,,,0.0341
246420,289650,Directed,183062,,,0.029555
246420,312280,Directed,183063,,,0.03217
246420,528110,Directed,183064,,,0.17535
246420,130,Directed,183065,,,0.031428
246420,661940,Directed,183066,,,0.033475
246420,385760,Directed,183067,,,0.175366
246420,339610,Directed,183068,,,0.169699
246420,603700,Directed,183069,,,0.241246
246420,7520,Directed,183070,,,0.032362
246420,12170,Directed,183071,,,0.070217
246420,663390,Directed,183072,,,0.029827
246420,730,Directed,183073,,,0.031964
246420,518790,Directed,183074,,,0.028441
246420,388410,Directed,183075,,,0.250768
246420,462200,Directed,183076,,,0.126849
246420,211260,Directed,183077,,,0.032382
246420,487770,Directed,183078,,,0.315812
246420,454140,Directed,183079,,,0.032145
246420,271590,Directed,183080,,,0.092673
246420,841370,Directed,183081,,,0.02945
246420,4570,Directed,183082,,,0.241246
246420,359220,Directed,183083,,,0.034016
246420,602960,Directed,183084,,,0.139625
246420,948630,Directed,183085,,,0.029756
246420,10,Directed,183086,,,0.273696
246420,1057720,Directed,183087,,,0.1269
246420,418370,Directed,183088,,,0.059352
246420,208480,Directed,183089,,,0.023422
246420,555440,Directed,183090,,,0.348972
246420,240,Directed,183091,,,0.023422
246420,397900,Directed,183092,,,0.023422
246420,470220,Directed,183093,,,0.390847
246420,1096010,Directed,183094,,,0.023422
246420,400630,Directed,183095,,,0.023422
246420,252330,Directed,183096,,,0.023422
246420,601430,Directed,183097,,,0.023422
246420,299500,Directed,183098,,,0.239143
246420,368500,Directed,183099,,,0.119307
246420,3900,Directed,183100,,,0.404874
246420,865090,Directed,183101,,,0.023422
246420,394360,Directed,183102,,,0.176192
246420,12110,Directed,183103,,,0.315812
246420,458710,Directed,183104,,,0.023422
246420,416000,Directed,183105,,,0.023422
246420,390030,Directed,183106,,,0.023422
246420,42700,Directed,183107,,,0.230497
246420,420,Directed,183108,,,0.023422
246420,588750,Directed,183109,,,0.178918
246420,535700,Directed,183110,,,0.149939
246420,8930,Directed,183111,,,0.023422
246420,417750,Directed,183112,,,0.244479
246420,967050,Directed,183113,,,0.390847
246420,958260,Directed,183114,,,0.023422
246420,537630,Directed,183115,,,0.023422
246420,405500,Directed,183116,,,0.023422
246420,641080,Directed,183117,,,0.023422
246420,70620,Directed,183118,,,0.023422
246420,401680,Directed,183119,,,0.264418
246420,50,Directed,183120,,,0.140679
246420,296490,Directed,183121,,,0.174879
246420,360430,Directed,183122,,,0.023422
246420,360,Directed,183123,,,0.187707
246420,359550,Directed,183124,,,0.023422
246420,243450,Directed,183125,,,0.205014
246420,331600,Directed,183126,,,0.149886
246420,458830,Directed,183127,,,0.023422
246420,596650,Directed,183128,,,0.073497
246420,400800,Directed,183129,,,0.298058
246420,15100,Directed,183130,,,0.023422
246420,831250,Directed,183131,,,0.193306
246420,224960,Directed,183132,,,0.1273
246420,381210,Directed,183133,,,0.119767
246420,314340,Directed,183134,,,0.207689
246420,272890,Directed,183135,,,0.059352
246420,356310,Directed,183136,,,0.095895
246420,530620,Directed,183137,,,0.298597
246420,221040,Directed,183138,,,0.166409
246420,906870,Directed,183139,,,0.121393
246420,242050,Directed,183140,,,0.023422
246420,819630,Directed,183141,,,0.040502
246420,233410,Directed,183142,,,0.127487
246420,381590,Directed,183143,,,0.023422
246420,225300,Directed,183144,,,0.364434
246420,70,Directed,183145,,,0.347679
246420,55140,Directed,183146,,,0.023422
246420,663370,Directed,183147,,,0.023422
246420,203160,Directed,183148,,,0.216492
246420,388090,Directed,183149,,,0.410269
246420,251430,Directed,183150,,,0.059148
246420,513650,Directed,183151,,,0.023422
246420,320,Directed,183152,,,0.119307
246420,250520,Directed,183153,,,0.223572
246420,466270,Directed,183154,,,0.023422
246420,894940,Directed,183155,,,0.092673
246420,20920,Directed,183156,,,0.309338
246420,619930,Directed,183157,,,0.023422
246420,951740,Directed,183158,,,0.023422
246420,812140,Directed,183159,,,0.023422
246420,814380,Directed,183160,,,0.348972
246420,489940,Directed,183161,,,0.023422
246420,287290,Directed,183162,,,0.298581
246420,819080,Directed,183163,,,0.294855
246420,260210,Directed,183164,,,0.023422
246420,452570,Directed,183165,,,0.023422
246420,383120,Directed,183166,,,0.023422
246420,463350,Directed,183167,,,0.070917
246420,105600,Directed,183168,,,0.023422
246420,335620,Directed,183169,,,0.116257
246420,283040,Directed,183170,,,0.149928
246420,291480,Directed,183171,,,0.023422
246420,8800,Directed,183172,,,0.294855
246420,610310,Directed,183173,,,0.059352
246420,99910,Directed,183174,,,0.023422
246420,1089350,Directed,183175,,,0.282721
246420,485510,Directed,183176,,,0.205608
246420,838390,Directed,183177,,,0.155159
246420,201790,Directed,183178,,,0.227248
246420,354200,Directed,183179,,,0.059352
246420,851940,Directed,183180,,,0.319845
246420,506610,Directed,183181,,,0.211334
246420,298630,Directed,183182,,,0.023422
246420,834910,Directed,183183,,,0.023422
246420,693960,Directed,183184,,,0.023422
246420,268870,Directed,183185,,,0.254558
246420,336150,Directed,183186,,,0.223572
246420,431240,Directed,183187,,,0.04614
246420,774171,Directed,183188,,,0.023422
246420,517630,Directed,183189,,,0.033983
246420,513710,Directed,183190,,,0.212791
246420,65800,Directed,183191,,,0.048632
246420,571740,Directed,183192,,,0.023422
246420,883710,Directed,183193,,,0.077072
246420,718590,Directed,183194,,,0.033801
246420,880470,Directed,183195,,,0.127557
246420,496790,Directed,183196,,,0.023422
246420,225020,Directed,183197,,,0.023422
246420,550650,Directed,183198,,,0.138471
246420,552500,Directed,183199,,,0.086331
246420,582160,Directed,183200,,,0.059352
246420,599460,Directed,183201,,,0.023422
246420,48190,Directed,183202,,,0.023422
246420,460950,Directed,183203,,,0.088413
246420,346470,Directed,183204,,,0.127772
246420,22490,Directed,183205,,,0.279432
246420,521580,Directed,183206,,,0.023422
246420,630,Directed,183207,,,0.102289
246420,33230,Directed,183208,,,0.023422
246420,802320,Directed,183209,,,0.033792
246420,282800,Directed,183210,,,0.023422
246420,201870,Directed,183211,,,0.092673
246420,286160,Directed,183212,,,0.452601
246420,209100,Directed,183213,,,0.137492
246420,304240,Directed,183214,,,0.127847
246420,434460,Directed,183215,,,0.023422
246420,339340,Directed,183216,,,0.338475
246420,643590,Directed,183217,,,0.023422
246420,7000,Directed,183218,,,0.250733
246420,32360,Directed,183219,,,0.092207
246420,334940,Directed,183220,,,0.023422
246420,281990,Directed,183221,,,0.023422
246420,378540,Directed,183222,,,0.023422
246420,726590,Directed,183223,,,0.359218
246420,380,Directed,183224,,,0.373639
246420,552990,Directed,183225,,,0.023422
246420,218230,Directed,183226,,,0.070217
246420,668430,Directed,183227,,,0.031073
246420,265300,Directed,183228,,,0.136534
246420,254700,Directed,183229,,,0.119307
246420,240600,Directed,183230,,,0.023422
246420,255520,Directed,183231,,,0.463495
246420,8000,Directed,183232,,,0.35002
246420,362830,Directed,183233,,,0.023422
246420,33930,Directed,183234,,,0.144295
246420,277430,Directed,183235,,,0.023422
246420,550,Directed,183236,,,0.356461
246420,636070,Directed,183237,,,0.144295
246420,661790,Directed,183238,,,0.267197
246420,755500,Directed,183239,,,0.023422
246420,17570,Directed,183240,,,0.092673
246420,877180,Directed,183241,,,0.023422
246420,1072610,Directed,183242,,,0.023422
246420,587650,Directed,183243,,,0.023422
246420,345660,Directed,183244,,,0.023422
246420,228300,Directed,183245,,,0.273696
246420,365020,Directed,183246,,,0.424149
246420,1079420,Directed,183247,,,0.173137
246420,626610,Directed,183248,,,0.023422
246420,296200,Directed,183249,,,0.023422
246420,550840,Directed,183250,,,0.204651
246420,20900,Directed,183251,,,0.023422
246420,711540,Directed,183252,,,0.023422
246420,332800,Directed,183253,,,0.481064
246420,679990,Directed,183254,,,0.250733
246420,12120,Directed,183255,,,0.03261
12180,246420,Directed,183256,,,0.028123
12180,311560,Directed,183257,,,0.170906
12180,319510,Directed,183258,,,0.277652
12180,691630,Directed,183259,,,0.11075
12180,300380,Directed,183260,,,0.026855
12180,393190,Directed,183261,,,0.548672
12180,32460,Directed,183262,,,0.169303
12180,91700,Directed,183263,,,0.254875
12180,225000,Directed,183264,,,0.024847
12180,204530,Directed,183265,,,0.17122
12180,594650,Directed,183266,,,0.451792
12180,404410,Directed,183267,,,0.271902
12180,392110,Directed,183268,,,0.004443
12180,744900,Directed,183269,,,0.156845
12180,858210,Directed,183270,,,0.022437
12180,225320,Directed,183271,,,0.25317
12180,911400,Directed,183272,,,0.043026
12180,779430,Directed,183273,,,0.17085
12180,961440,Directed,183274,,,0.144521
12180,719720,Directed,183275,,,0.028311
12180,414340,Directed,183276,,,0.321177
12180,12100,Directed,183277,,,0.062262
12180,340,Directed,183278,,,0.023939
12180,640820,Directed,183279,,,0.054069
12180,384680,Directed,183280,,,0.030249
12180,21690,Directed,183281,,,0.78862
12180,277590,Directed,183282,,,0.004443
12180,280,Directed,183283,,,0.232956
12180,40390,Directed,183284,,,0.075333
12180,354140,Directed,183285,,,0.426011
12180,1049660,Directed,183286,,,0.01688
12180,812440,Directed,183287,,,0.318674
12180,1070040,Directed,183288,,,0.004443
12180,668840,Directed,183289,,,0.116255
12180,670290,Directed,183290,,,0.021256
12180,890970,Directed,183291,,,0.26112
12180,362490,Directed,183292,,,0.255658
12180,256370,Directed,183293,,,0.021635
12180,222480,Directed,183294,,,0.147638
12180,223470,Directed,183295,,,0.314075
12180,10090,Directed,183296,,,0.004446
12180,520940,Directed,183297,,,0.004443
12180,224980,Directed,183298,,,0.290722
12180,760630,Directed,183299,,,0.025985
12180,290930,Directed,183300,,,0.029412
12180,306020,Directed,183301,,,0.593338
12180,220,Directed,183302,,,0.04916
12180,3590,Directed,183303,,,0.021625
12180,514900,Directed,183304,,,0.203012
12180,3910,Directed,183305,,,0.274525
12180,502720,Directed,183306,,,0.145333
12180,8140,Directed,183307,,,0.200696
12180,431730,Directed,183308,,,0.014656
12180,747250,Directed,183309,,,0.139431
12180,343780,Directed,183310,,,0.029131
12180,647960,Directed,183311,,,0.018902
12180,406970,Directed,183312,,,0.050671
12180,447530,Directed,183313,,,0.180109
12180,438740,Directed,183314,,,0.149813
12180,227940,Directed,183315,,,0.34389
12180,343990,Directed,183316,,,0.051434
12180,261980,Directed,183317,,,0.021295
12180,590950,Directed,183318,,,0.015822
12180,1054580,Directed,183319,,,0.023108
12180,289650,Directed,183320,,,0.004443
12180,312280,Directed,183321,,,0.022291
12180,528110,Directed,183322,,,0.171012
12180,130,Directed,183323,,,0.020809
12180,661940,Directed,183324,,,0.027781
12180,385760,Directed,183325,,,0.163601
12180,339610,Directed,183326,,,0.156845
12180,603700,Directed,183327,,,0.237064
12180,7520,Directed,183328,,,0.007103
12180,12170,Directed,183329,,,0.050671
12180,663390,Directed,183330,,,0.004443
12180,730,Directed,183331,,,0.006208
12180,518790,Directed,183332,,,0.018939
12180,388410,Directed,183333,,,0.234004
12180,462200,Directed,183334,,,0.122266
12180,211260,Directed,183335,,,0.007158
12180,487770,Directed,183336,,,0.311988
12180,454140,Directed,183337,,,0.022212
12180,271590,Directed,183338,,,0.087437
12180,841370,Directed,183339,,,0.004442
12180,4570,Directed,183340,,,0.237064
12180,359220,Directed,183341,,,0.022417
12180,602960,Directed,183342,,,0.128712
12180,948630,Directed,183343,,,0.004443
12180,10,Directed,183344,,,0.269592
12180,1057720,Directed,183345,,,0.12232
12180,418370,Directed,183346,,,0.053422
12180,208480,Directed,183347,,,0.016383
12180,555440,Directed,183348,,,0.332505
12180,240,Directed,183349,,,0.016383
12180,397900,Directed,183350,,,0.016383
12180,470220,Directed,183351,,,0.386917
12180,1096010,Directed,183352,,,0.016383
12180,400630,Directed,183353,,,0.016383
12180,252330,Directed,183354,,,0.016383
12180,601430,Directed,183355,,,0.016383
12180,299500,Directed,183356,,,0.224583
12180,368500,Directed,183357,,,0.101366
12180,3900,Directed,183358,,,0.394713
12180,865090,Directed,183359,,,0.016383
12180,394360,Directed,183360,,,0.171881
12180,12110,Directed,183361,,,0.311988
12180,458710,Directed,183362,,,0.016383
12180,416000,Directed,183363,,,0.016383
12180,390030,Directed,183364,,,0.016383
12180,42700,Directed,183365,,,0.213261
12180,420,Directed,183366,,,0.016383
12180,588750,Directed,183367,,,0.168233
12180,535700,Directed,183368,,,0.145361
12180,8930,Directed,183369,,,0.016383
12180,417750,Directed,183370,,,0.228147
12180,967050,Directed,183371,,,0.386917
12180,958260,Directed,183372,,,0.016383
12180,537630,Directed,183373,,,0.016383
12180,405500,Directed,183374,,,0.016383
12180,641080,Directed,183375,,,0.016383
12180,70620,Directed,183376,,,0.016383
12180,401680,Directed,183377,,,0.256465
12180,50,Directed,183378,,,0.136051
12180,296490,Directed,183379,,,0.170545
12180,360430,Directed,183380,,,0.016383
12180,360,Directed,183381,,,0.170416
12180,359550,Directed,183382,,,0.016383
12180,243450,Directed,183383,,,0.200696
12180,331600,Directed,183384,,,0.145308
12180,458830,Directed,183385,,,0.016383
12180,596650,Directed,183386,,,0.057966
12180,400800,Directed,183387,,,0.283723
12180,15100,Directed,183388,,,0.016383
12180,831250,Directed,183389,,,0.179696
12180,224960,Directed,183390,,,0.122765
12180,381210,Directed,183391,,,0.103729
12180,314340,Directed,183392,,,0.203404
12180,272890,Directed,183393,,,0.053422
12180,356310,Directed,183394,,,0.085813
12180,530620,Directed,183395,,,0.287487
12180,221040,Directed,183396,,,0.165096
12180,906870,Directed,183397,,,0.109639
12180,242050,Directed,183398,,,0.016383
12180,819630,Directed,183399,,,0.035989
12180,233410,Directed,183400,,,0.12293
12180,381590,Directed,183401,,,0.016383
12180,225300,Directed,183402,,,0.356556
12180,70,Directed,183403,,,0.34389
12180,55140,Directed,183404,,,0.016383
12180,663370,Directed,183405,,,0.016383
12180,203160,Directed,183406,,,0.20039
12180,388090,Directed,183407,,,0.401168
12180,251430,Directed,183408,,,0.051436
12180,513650,Directed,183409,,,0.016383
12180,320,Directed,183410,,,0.101366
12180,250520,Directed,183411,,,0.219336
12180,466270,Directed,183412,,,0.016383
12180,894940,Directed,183413,,,0.087437
12180,20920,Directed,183414,,,0.292773
12180,619930,Directed,183415,,,0.016383
12180,951740,Directed,183416,,,0.016383
12180,812140,Directed,183417,,,0.016383
12180,814380,Directed,183418,,,0.332505
12180,489940,Directed,183419,,,0.016383
12180,287290,Directed,183420,,,0.289858
12180,819080,Directed,183421,,,0.290722
12180,260210,Directed,183422,,,0.016383
12180,452570,Directed,183423,,,0.016383
12180,383120,Directed,183424,,,0.016383
12180,463350,Directed,183425,,,0.052947
12180,105600,Directed,183426,,,0.016383
12180,335620,Directed,183427,,,0.102771
12180,283040,Directed,183428,,,0.145349
12180,291480,Directed,183429,,,0.016383
12180,8800,Directed,183430,,,0.290722
12180,610310,Directed,183431,,,0.053422
12180,99910,Directed,183432,,,0.016383
12180,1089350,Directed,183433,,,0.26687
12180,485510,Directed,183434,,,0.188602
12180,838390,Directed,183435,,,0.144964
12180,201790,Directed,183436,,,0.219385
12180,354200,Directed,183437,,,0.053422
12180,851940,Directed,183438,,,0.312818
12180,506610,Directed,183439,,,0.210229
12180,298630,Directed,183440,,,0.016383
12180,834910,Directed,183441,,,0.016383
12180,693960,Directed,183442,,,0.016383
12180,268870,Directed,183443,,,0.238185
12180,336150,Directed,183444,,,0.219336
12180,431240,Directed,183445,,,0.03367
12180,774171,Directed,183446,,,0.016383
12180,517630,Directed,183447,,,0.026275
12180,513710,Directed,183448,,,0.204628
12180,65800,Directed,183449,,,0.027484
12180,571740,Directed,183450,,,0.016383
12180,883710,Directed,183451,,,0.057759
12180,718590,Directed,183452,,,0.026095
12180,880470,Directed,183453,,,0.123061
12180,496790,Directed,183454,,,0.016383
12180,225020,Directed,183455,,,0.016383
12180,550650,Directed,183456,,,0.125705
12180,552500,Directed,183457,,,0.073128
12180,582160,Directed,183458,,,0.053422
12180,599460,Directed,183459,,,0.016383
12180,48190,Directed,183460,,,0.016383
12180,460950,Directed,183461,,,0.086232
12180,346470,Directed,183462,,,0.123251
12180,22490,Directed,183463,,,0.270506
12180,521580,Directed,183464,,,0.016383
12180,630,Directed,183465,,,0.099463
12180,33230,Directed,183466,,,0.016383
12180,802320,Directed,183467,,,0.026086
12180,282800,Directed,183468,,,0.016383
12180,201870,Directed,183469,,,0.087437
12180,286160,Directed,183470,,,0.448731
12180,209100,Directed,183471,,,0.1218
12180,304240,Directed,183472,,,0.123298
12180,434460,Directed,183473,,,0.016383
12180,339340,Directed,183474,,,0.326306
12180,643590,Directed,183475,,,0.016383
12180,7000,Directed,183476,,,0.241952
12180,32360,Directed,183477,,,0.096127
12180,334940,Directed,183478,,,0.016383
12180,281990,Directed,183479,,,0.016383
12180,378540,Directed,183480,,,0.016383
12180,726590,Directed,183481,,,0.354257
12180,380,Directed,183482,,,0.369437
12180,552990,Directed,183483,,,0.016383
12180,218230,Directed,183484,,,0.050671
12180,668430,Directed,183485,,,0.005302
12180,265300,Directed,183486,,,0.118491
12180,254700,Directed,183487,,,0.101366
12180,240600,Directed,183488,,,0.016383
12180,255520,Directed,183489,,,0.449474
12180,8000,Directed,183490,,,0.346027
12180,362830,Directed,183491,,,0.016383
12180,33930,Directed,183492,,,0.126747
12180,277430,Directed,183493,,,0.016383
12180,550,Directed,183494,,,0.344185
12180,636070,Directed,183495,,,0.126747
12180,661790,Directed,183496,,,0.252365
12180,755500,Directed,183497,,,0.016383
12180,17570,Directed,183498,,,0.087437
12180,877180,Directed,183499,,,0.016383
12180,1072610,Directed,183500,,,0.016383
12180,587650,Directed,183501,,,0.016383
12180,345660,Directed,183502,,,0.016383
12180,228300,Directed,183503,,,0.269592
12180,365020,Directed,183504,,,0.415456
12180,1079420,Directed,183505,,,0.164979
12180,626610,Directed,183506,,,0.016383
12180,296200,Directed,183507,,,0.016383
12180,550840,Directed,183508,,,0.202515
12180,20900,Directed,183509,,,0.016383
12180,711540,Directed,183510,,,0.016383
12180,332800,Directed,183511,,,0.47721
12180,679990,Directed,183512,,,0.241952
12180,12120,Directed,183513,,,0.028024
311560,246420,Directed,183514,,,0.175198
311560,12180,Directed,183515,,,0.170906
311560,319510,Directed,183516,,,0.187777
311560,691630,Directed,183517,,,0.213289
311560,300380,Directed,183518,,,0.175043
311560,393190,Directed,183519,,,0.393941
311560,32460,Directed,183520,,,0.053236
311560,91700,Directed,183521,,,0.198088
311560,225000,Directed,183522,,,0.171001
311560,204530,Directed,183523,,,0.000783
311560,594650,Directed,183524,,,0.498177
311560,404410,Directed,183525,,,0.295178
311560,392110,Directed,183526,,,0.168197
311560,744900,Directed,183527,,,0.099905
311560,858210,Directed,183528,,,0.151959
311560,225320,Directed,183529,,,0.099484
311560,911400,Directed,183530,,,0.189959
311560,779430,Directed,183531,,,0.000755
311560,961440,Directed,183532,,,0.026421
311560,719720,Directed,183533,,,0.145961
311560,414340,Directed,183534,,,0.36469
311560,12100,Directed,183535,,,0.182327
311560,340,Directed,183536,,,0.173924
311560,640820,Directed,183537,,,0.205626
311560,384680,Directed,183538,,,0.185773
