Source,Target,Type,Id,Label,timeset,Weight
246420,12180,Directed,296064,,,0.072302
246420,311560,Directed,296065,,,0.173767
246420,319510,Directed,296066,,,0.322676
246420,691630,Directed,296067,,,0.144447
246420,300380,Directed,296068,,,0.017654
246420,393190,Directed,296069,,,0.628022
246420,32460,Directed,296070,,,0.190678
246420,91700,Directed,296071,,,0.299877
246420,225000,Directed,296072,,,0.017346
246420,204530,Directed,296073,,,0.187765
246420,594650,Directed,296074,,,0.540545
246420,404410,Directed,296075,,,0.318767
246420,392110,Directed,296076,,,0.01752
246420,744900,Directed,296077,,,0.184199
246420,858210,Directed,296078,,,0.017262
246420,225320,Directed,296079,,,0.277176
246420,911400,Directed,296080,,,0.017443
246420,779430,Directed,296081,,,0.173767
246420,961440,Directed,296082,,,0.141175
246420,719720,Directed,296083,,,0.014417
246420,414340,Directed,296084,,,0.386787
246420,12100,Directed,296085,,,0.058374
246420,340,Directed,296086,,,0.034132
246420,640820,Directed,296087,,,0.033597
246420,384680,Directed,296088,,,0.018243
246420,21690,Directed,296089,,,0.897449
246420,277590,Directed,296090,,,0.017061
246420,280,Directed,296091,,,0.286752
246420,40390,Directed,296092,,,0.086035
246420,354140,Directed,296093,,,0.459309
246420,1049660,Directed,296094,,,0.017877
246420,812440,Directed,296095,,,0.359288
246420,1070040,Directed,296096,,,0.017626
246420,668840,Directed,296097,,,0.255594
246420,670290,Directed,296098,,,0.016507
246420,890970,Directed,296099,,,0.320293
246420,362490,Directed,296100,,,0.283593
246420,256370,Directed,296101,,,0.031036
246420,222480,Directed,296102,,,0.152148
246420,223470,Directed,296103,,,0.36085
246420,10090,Directed,296104,,,0.032239
246420,520940,Directed,296105,,,0.01554
246420,224980,Directed,296106,,,0.324283
246420,760630,Directed,296107,,,0.019115
246420,290930,Directed,296108,,,0.016908
246420,306020,Directed,296109,,,0.034596
246420,220,Directed,296110,,,0.032954
246420,3590,Directed,296111,,,0.032734
246420,514900,Directed,296112,,,0.243118
246420,3910,Directed,296113,,,0.33526
246420,502720,Directed,296114,,,0.141175
246420,8140,Directed,296115,,,0.225599
246420,431730,Directed,296116,,,0.023504
246420,747250,Directed,296117,,,0.161958
246420,343780,Directed,296118,,,0.023504
246420,647960,Directed,296119,,,0.023504
246420,406970,Directed,296120,,,0.076385
246420,447530,Directed,296121,,,0.19254
246420,438740,Directed,296122,,,0.158665
246420,227940,Directed,296123,,,0.408281
246420,343990,Directed,296124,,,0.023504
246420,261980,Directed,296125,,,0.023504
246420,590950,Directed,296126,,,0.023504
246420,1054580,Directed,296127,,,0.023504
246420,289650,Directed,296128,,,0.023504
246420,312280,Directed,296129,,,0.023504
246420,528110,Directed,296130,,,0.173767
246420,130,Directed,296131,,,0.023504
246420,661940,Directed,296132,,,0.023504
246420,385760,Directed,296133,,,0.214242
246420,339610,Directed,296134,,,0.184198
246420,603700,Directed,296135,,,0.264809
246420,7520,Directed,296136,,,0.241455
246420,12170,Directed,296137,,,0.076385
246420,663390,Directed,296138,,,0.023504
246420,730,Directed,296139,,,0.035639
246420,518790,Directed,296140,,,0.023504
246420,388410,Directed,296141,,,0.288968
246420,462200,Directed,296142,,,0.278108
246420,211260,Directed,296143,,,0.035622
246420,487770,Directed,296144,,,0.37596
246420,454140,Directed,296145,,,0.023504
246420,271590,Directed,296146,,,0.086035
246420,841370,Directed,296147,,,0.023504
246420,4570,Directed,296148,,,0.264754
246420,359220,Directed,296149,,,0.023504
246420,602960,Directed,296150,,,0.151976
246420,948630,Directed,296151,,,0.023504
246420,10,Directed,296152,,,0.300111
246420,1057720,Directed,296153,,,0.141175
246420,418370,Directed,296154,,,0.044606
246420,208480,Directed,296155,,,0.023504
246420,555440,Directed,296156,,,0.402704
246420,240,Directed,296157,,,0.023504
246420,397900,Directed,296158,,,0.023504
246420,470220,Directed,296159,,,0.432525
246420,1096010,Directed,296160,,,0.023504
246420,400630,Directed,296161,,,0.023504
246420,252330,Directed,296162,,,0.023504
246420,601430,Directed,296163,,,0.023504
246420,299500,Directed,296164,,,0.262253
246420,368500,Directed,296165,,,0.132118
246420,3900,Directed,296166,,,0.451946
246420,865090,Directed,296167,,,0.023504
246420,394360,Directed,296168,,,0.166525
246420,12110,Directed,296169,,,0.37596
246420,458710,Directed,296170,,,0.023504
246420,416000,Directed,296171,,,0.023504
246420,390030,Directed,296172,,,0.023504
246420,42700,Directed,296173,,,0.222635
246420,420,Directed,296174,,,0.023504
246420,588750,Directed,296175,,,0.12681
246420,535700,Directed,296176,,,0.141175
246420,8930,Directed,296177,,,0.023504
246420,417750,Directed,296178,,,0.272677
246420,967050,Directed,296179,,,0.432525
246420,958260,Directed,296180,,,0.023504
246420,537630,Directed,296181,,,0.023504
246420,405500,Directed,296182,,,0.023504
246420,641080,Directed,296183,,,0.023504
246420,70620,Directed,296184,,,0.023504
246420,401680,Directed,296185,,,0.289062
246420,50,Directed,296186,,,0.066745
246420,296490,Directed,296187,,,0.173767
246420,360430,Directed,296188,,,0.023504
246420,360,Directed,296189,,,0.193287
246420,359550,Directed,296190,,,0.023504
246420,243450,Directed,296191,,,0.188359
246420,331600,Directed,296192,,,0.141175
246420,458830,Directed,296193,,,0.023504
246420,596650,Directed,296194,,,0.076259
246420,400800,Directed,296195,,,0.332237
246420,15100,Directed,296196,,,0.023504
246420,831250,Directed,296197,,,0.20955
246420,224960,Directed,296198,,,0.187722
246420,381210,Directed,296199,,,0.126071
246420,314340,Directed,296200,,,0.220177
246420,272890,Directed,296201,,,0.109
246420,356310,Directed,296202,,,0.093167
246420,530620,Directed,296203,,,0.326267
246420,221040,Directed,296204,,,0.177498
246420,906870,Directed,296205,,,0.149463
246420,242050,Directed,296206,,,0.023504
246420,819630,Directed,296207,,,0.028572
246420,233410,Directed,296208,,,0.166525
246420,381590,Directed,296209,,,0.023504
246420,225300,Directed,296210,,,0.404979
246420,70,Directed,296211,,,0.408281
246420,55140,Directed,296212,,,0.023504
246420,663370,Directed,296213,,,0.023504
246420,203160,Directed,296214,,,0.239306
246420,388090,Directed,296215,,,0.458466
246420,251430,Directed,296216,,,0.066745
246420,513650,Directed,296217,,,0.023504
246420,320,Directed,296218,,,0.131834
246420,250520,Directed,296219,,,0.225599
246420,466270,Directed,296220,,,0.023504
246420,894940,Directed,296221,,,0.086035
246420,20920,Directed,296222,,,0.356813
246420,619930,Directed,296223,,,0.023504
246420,951740,Directed,296224,,,0.023504
246420,812140,Directed,296225,,,0.023504
246420,814380,Directed,296226,,,0.402704
246420,489940,Directed,296227,,,0.023504
246420,287290,Directed,296228,,,0.324513
246420,819080,Directed,296229,,,0.324283
246420,260210,Directed,296230,,,0.023504
246420,452570,Directed,296231,,,0.023504
246420,383120,Directed,296232,,,0.023504
246420,463350,Directed,296233,,,0.069738
246420,105600,Directed,296234,,,0.023504
246420,335620,Directed,296235,,,0.169536
246420,283040,Directed,296236,,,0.141175
246420,291480,Directed,296237,,,0.023504
246420,8800,Directed,296238,,,0.324283
246420,610310,Directed,296239,,,0.044606
246420,99910,Directed,296240,,,0.023504
246420,1089350,Directed,296241,,,0.316897
246420,485510,Directed,296242,,,0.24145
246420,838390,Directed,296243,,,0.135427
246420,201790,Directed,296244,,,0.241429
246420,354200,Directed,296245,,,0.044606
246420,851940,Directed,296246,,,0.353122
246420,506610,Directed,296247,,,0.229727
246420,298630,Directed,296248,,,0.023504
246420,834910,Directed,296249,,,0.023504
246420,693960,Directed,296250,,,0.023504
246420,268870,Directed,296251,,,0.290177
246420,336150,Directed,296252,,,0.225599
246420,431240,Directed,296253,,,0.033597
246420,774171,Directed,296254,,,0.023504
246420,517630,Directed,296255,,,0.0791
246420,513710,Directed,296256,,,0.229328
246420,65800,Directed,296257,,,0.174155
246420,571740,Directed,296258,,,0.023504
246420,883710,Directed,296259,,,0.01299
246420,718590,Directed,296260,,,0.109607
246420,880470,Directed,296261,,,0.166846
246420,496790,Directed,296262,,,0.023504
246420,225020,Directed,296263,,,0.023504
246420,550650,Directed,296264,,,0.106672
246420,552500,Directed,296265,,,0.076259
246420,582160,Directed,296266,,,0.044606
246420,599460,Directed,296267,,,0.023504
246420,48190,Directed,296268,,,0.023504
246420,460950,Directed,296269,,,0.086325
246420,346470,Directed,296270,,,0.166525
246420,22490,Directed,296271,,,0.306748
246420,521580,Directed,296272,,,0.023504
246420,630,Directed,296273,,,0.098316
246420,33230,Directed,296274,,,0.023504
246420,802320,Directed,296275,,,0.044605
246420,282800,Directed,296276,,,0.023504
246420,201870,Directed,296277,,,0.105241
246420,286160,Directed,296278,,,0.392821
246420,209100,Directed,296279,,,0.131934
246420,304240,Directed,296280,,,0.166525
246420,434460,Directed,296281,,,0.023504
246420,339340,Directed,296282,,,0.373416
246420,643590,Directed,296283,,,0.023504
