Id,Label,timeset,modularity_class
246420,246420,,0
12180,12180,,5
311560,311560,,4
319510,319510,,6
691630,691630,,6
300380,300380,,10
393190,393190,,3
32460,32460,,2
91700,91700,,6
225000,225000,,5
204530,204530,,4
594650,594650,,6
404410,404410,,6
392110,392110,,0
744900,744900,,2
858210,858210,,5
225320,225320,,3
911400,911400,,10
779430,779430,,4
961440,961440,,4
719720,719720,,8
414340,414340,,6
12100,12100,,9
340,340,,0
640820,640820,,8
384680,384680,,0
21690,21690,,7
277590,277590,,0
280,280,,3
40390,40390,,1
354140,354140,,3
1049660,1049660,,0
812440,812440,,7
1070040,1070040,,0
668840,668840,,2
670290,670290,,0
890970,890970,,6
362490,362490,,7
256370,256370,,0
222480,222480,,9
223470,223470,,6
10090,10090,,0
520940,520940,,0
224980,224980,,3
760630,760630,,10
290930,290930,,5
306020,306020,,10
220,220,,5
3590,3590,,10
514900,514900,,6
3910,3910,,6
502720,502720,,4
8140,8140,,3
431730,431730,,10
747250,747250,,2
343780,343780,,10
647960,647960,,5
406970,406970,,6
447530,447530,,7
438740,438740,,4
227940,227940,,3
343990,343990,,10
261980,261980,,10
590950,590950,,0
1054580,1054580,,10
289650,289650,,10
312280,312280,,5
528110,528110,,4
130,130,,10
661940,661940,,0
385760,385760,,2
339610,339610,,2
603700,603700,,3
7520,7520,,6
12170,12170,,6
663390,663390,,0
730,730,,6
518790,518790,,0
388410,388410,,6
462200,462200,,4
211260,211260,,6
487770,487770,,3
454140,454140,,0
271590,271590,,1
841370,841370,,0
4570,4570,,3
359220,359220,,0
602960,602960,,2
948630,948630,,0
10,10,,3
1057720,1057720,,4
418370,418370,,1
208480,208480,,0
555440,555440,,6
240,240,,0
397900,397900,,0
470220,470220,,3
1096010,1096010,,0
400630,400630,,0
252330,252330,,5
601430,601430,,0
299500,299500,,6
368500,368500,,6
3900,3900,,3
865090,865090,,0
394360,394360,,4
12110,12110,,3
458710,458710,,0
416000,416000,,0
390030,390030,,10
42700,42700,,6
420,420,,10
588750,588750,,2
535700,535700,,4
8930,8930,,10
417750,417750,,6
967050,967050,,3
958260,958260,,10
537630,537630,,0
405500,405500,,10
641080,641080,,0
70620,70620,,5
401680,401680,,3
50,50,,1
296490,296490,,4
360430,360430,,5
360,360,,6
359550,359550,,5
243450,243450,,3
331600,331600,,4
458830,458830,,0
596650,596650,,1
400800,400800,,6
15100,15100,,5
831250,831250,,2
224960,224960,,4
381210,381210,,2
314340,314340,,4
272890,272890,,1
356310,356310,,1
530620,530620,,7
221040,221040,,9
906870,906870,,2
242050,242050,,10
819630,819630,,9
233410,233410,,4
381590,381590,,10
225300,225300,,3
70,70,,3
55140,55140,,10
663370,663370,,0
203160,203160,,6
388090,388090,,3
251430,251430,,1
513650,513650,,5
320,320,,6
250520,250520,,4
466270,466270,,0
894940,894940,,1
20920,20920,,6
619930,619930,,0
951740,951740,,5
812140,812140,,0
814380,814380,,6
489940,489940,,10
287290,287290,,7
819080,819080,,3
260210,260210,,5
452570,452570,,0
383120,383120,,0
463350,463350,,1
105600,105600,,5
335620,335620,,2
283040,283040,,4
291480,291480,,0
8800,8800,,3
610310,610310,,1
99910,99910,,5
1089350,1089350,,6
485510,485510,,6
838390,838390,,2
201790,201790,,7
354200,354200,,1
851940,851940,,3
506610,506610,,9
298630,298630,,0
834910,834910,,0
693960,693960,,0
268870,268870,,6
336150,336150,,4
431240,431240,,8
774171,774171,,5
517630,517630,,1
513710,513710,,3
65800,65800,,6
571740,571740,,5
883710,883710,,1
718590,718590,,1
880470,880470,,4
496790,496790,,5
225020,225020,,10
550650,550650,,2
552500,552500,,1
582160,582160,,1
599460,599460,,0
48190,48190,,10
460950,460950,,9
346470,346470,,4
22490,22490,,3
521580,521580,,10
630,630,,9
33230,33230,,10
802320,802320,,1
282800,282800,,0
201870,201870,,1
286160,286160,,3
209100,209100,,2
304240,304240,,4
434460,434460,,10
339340,339340,,7
643590,643590,,5
7000,7000,,3
32360,32360,,1
334940,334940,,10
281990,281990,,0
378540,378540,,0
726590,726590,,3
380,380,,3
552990,552990,,0
218230,218230,,6
668430,668430,,5
265300,265300,,6
254700,254700,,6
240600,240600,,10
255520,255520,,6
8000,8000,,3
362830,362830,,0
33930,33930,,6
277430,277430,,10
550,550,,6
636070,636070,,6
661790,661790,,6
755500,755500,,5
17570,17570,,1
877180,877180,,0
1072610,1072610,,5
587650,587650,,0
345660,345660,,0
228300,228300,,3
365020,365020,,3
1079420,1079420,,4
626610,626610,,0
296200,296200,,10
550840,550840,,4
20900,20900,,0
711540,711540,,5
332800,332800,,3
679990,679990,,3
12120,12120,,10
